大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
而鄭垣口詞稱漆馬江峒雖有黎寧而來歷宗派不可得詳所列事情年貌又與鄭惟憭原報互翼俱難憑㨿爲聽令於漆馬江居住見在所有地方俱屬管朿或量與職事徑属雲南若非黎氏子孫置而勿論	Nhi Trịnh Viên khẩu từ xưng Tất Mã Giang động tuy hữu Lê Ninh nhi lai lịch tông phái bất khả đắc tường, sở liệt sự tình, niên mạo, hựu dữ Trịnh Duy Liệu nguyên báo hỗ dực cụ nạn bằng cứ vi thính lệnh ư Tất Mã Giang cư trú kiến tại sở hữu địa phương cụ thuộc quản thúc, hoặc lượng dữ chức sự kính thuộc Vân Nam, nhược phi Lê thị tử tôn trí nhi vật luận.
其鄭惟憭即於廣東所属隨宜安𢮿量給田宅不致失所如此處分庶爲曲盡	Kì Trịnh Duy Liệu tức ư Quảng Đông sở thuộc tuỳ nghi an quay lượng cấp điền trạch bất trí thất sở như thử xứ phân thứ vi khúc tận.
明帝乃封莫登容爲安南都統使司都統使賜銀印仍與世襲其十三路地方	Minh đế nãi phong Mạc Đăng Dung vi An Nam đô thống sứ ti đô thống sứ, tứ ngân ấn những dữ thế tập kì thập tam lộ địa phương..
就照原舊地名	tựu chiếu nguyên cựu địa danh.
各置宣撫司設宣撫同知副使僉事各一員聽都統使管轄差遣	Các trí Tuyên phủ ti, thiết Tuyên phủ đồng tri phó sứ thiêm sự các nhất viên, thính Đô thống sứ quản hạt sai khiến.
朝貢其貢儀御前東宮照舊	Triều cống kì cống nghi ngự tiền đông cung chiếu cựu.
壬寅十年莫廣和二年〇	Nhâm Dần thập niên, [Mạc Quảng Hoà nhị niên .
明嘉靖十一年帝以瑞郡公何壽祥爲御營提統御駕以圖進取	Minh Gia Tĩnh thập nhất niên,] Đế dĩ Thuỵ quận công Hà Thọ Tường vi ngự doanh đề thống ngự giá dĩ đồ tiến thủ.
命太師興國公阮金統督諸營將士先𤼵進攻清華乂安等處	Mệnh Thái sư Hưng Quốc công Nguyễn Kim thống đốc chư doanh tướng sĩ tiên phát tiến công Thanh Hoa, Nghệ An đẳng xứ.
二鎮諸舊将及豪傑之士多歸之軍聲益銳	Nhị trấn chư cựu tướng cập hào kiệt chi sĩ đa quy chi quân thanh ích nhuệ.
壽祥錦水古滝人二月初八日莫福海封其弟敬典等及諸子爲王	[Thọ Tường Cẩm Thuỷ Cổ Lũng nhân,] Nhị nguyệt, sơ bát nhật, Mạc Phúc Hải phong kì đệ Kính Điển đẳng cập chư tử vi vương.
時官軍與莫將交戰相持數月間	Thời, quan quân dữ Mạc tướng giao chiến tương trì số nguyệt gian..
三月二十二日莫福海赴鎮南䦕聽驗會勘并領大明大統曆一千本又領原封莫登庸安南都統使司都統使勑命一道銀印一顆	Tam nguyệt, nhị thập nhị nhật, Mạc Phúc Hải phó Trấn Nam quan thính nghiệm hội khám tịnh lĩnh Đại Minh Đại Thống lịch nhất thiên bản, hựu lĩnh nguyên phong Mạc Đăng Dung An Nam đô thống sứ ti đô thống sứ sắc mệnh nhất đạo, ngân ấn nhất khoả.
八月初三日莫遣阮典敬阮公儀梁僩等如明謝恩	Bát nguyệt, sơ tam nhật, Mạc khiến Nguyễn Điển Kính, Nguyễn Công Nghi, Lương giản đẳng như Minh tạ ân.
阮照訓武恂謝定光如明歲貢	Nguyễn Chiếu Huấn, Vũ Tuân, Tạ Định Quang như Minh tuế cống.
十二月十五日明封莫福海襲安南都統使司都統使	Thập nhị nguyệt, thập ngũ nhật, Minh phong Mạc Phúc Hải tập An Nam Đô thống sứ ti đô thống sứ.
癸卯十一年莫廣和三年〇	Quý Mão thập nhất niên, [Mạc Quảng Hoà tam niên .
明嘉靖二十二年莫遣使如明歲貢	Minh Gia Tĩnh nhị thập nhị niên,] Mạc khiến sứ như Minh tuế cống.
明帝令賫使如故但罷賜宴稍减供饋以示非	Minh đế lệnh tê sứ như cố, đản bãi tứ yến, sảo giảm cúng quỹ, dĩ thị phi..
陪臣禮〇	bồi thần lễ .
帝進兵出自西都城	Đế tiến binh xuất tự Tây Đô thành.
莫将忠厚侯缺名率子弟詣軍前拜見于西都城南門三軍踴躍大喜	Mạc tướng Trung Hậu hầu [khuyết danh] suất tử đệ nghệ quân tiền bái kiến vu Tây Đô thành Nam môn tam quân dũng dược đại hỉ.
是時太師興國公阮金猶在哀牢未從行	Thị thời, Thái sư HƯng Quốc công Nguyễn Kim do tại Ai Lao vị tòng hành.
帝使宣郡公鄭公䏻捧詔書召之金乃整飭部伍刻日就道拜謁于義路江行在	Đế sử Tuyên Quận công Trịnh Công Năng phủng chiếu thư triệu chi, Kim nãi chỉnh sức bộ ngũ khắc nhật tựu đạo bái yết vu Nghĩa Lộ giang hành tại.
帝大喜加金陞太宰使爲都将節制諸營將士分道並進定西南	Đế đại hỉ, gia Kim thăng Thái tể sứ vi Đô tướng tiết chế chư doanh tướng sĩ phân đạo tịnh tiến định Tây Nam.
民每戰克捷	Dân mỗi chiến khắc tiệp.
宣郡公鄭公䏻𤼵兵反㨿廣平源頭設立營寨	Tuyên quận công trịnh Công Năng phát binh phản cứ Quảng Bình nguyên đầu, thiết lập doanh trại.
帝命翼郡公鄭檢討	Đế mệnh Dực quận công Trịnh Kiểm thảo.
誅之	Tru chi.
甲辰十二年莫廣和四年〇	Giáp Thìn thập nhị niên, [Mạc Quảng Hoà tứ niên .
明嘉靖二十三年春莫開會試	Minh Gia Tĩnh nhị thập tam niên,] xuân, Mạc khai Hội thí.
賜武璥等三人進士出身阮有翼等十四人同進士出身	Tứ Vũ Kính đẳng tam nhân tiến sĩ xuất thân, Nguyễn Hữu Dực đẳng thập tứ nhân đồng tiến sĩ xuất thân.
乙巳十三年莫廣和三年〇	Ất Tị thập tam niên, [Mạc Quảng Hoà tam niên .
明嘉靖二十四年四月帝以少尉䧺國公丁公爲太尉使監守御營	Minh Gia Tĩnh nhị thập tứ niên,] tứ nguyệt, Đế dĩ Thiếu uý Hùng Quốc công Đinh Công vi Thái uý sử giám thủ ngự doanh.
帝親率諸將征山南地方至安謨駐營	Đế thân suất chư tướng chinh Sơn Nam địa phương, chí Yên Mô trú doanh.
五月二十日莫降將忠厚侯隂𢙇貳心邀請太宰阮金赴本營隂置毒于瓜中供進饌前	Ngũ nguyệt, nhị thập nhật, Mạc hàng tướng Trung Hậu hầu âm hoài nhị tâm, yêu thỉnh Thái tể Nguyễn Kim phó bản doanh âm trí độc vu qua trung cúng tiến soạn tiền.
金信食之中毒及回心悶而薨	Kim tín thực chi trúng độc cập hồi tâm muộn nhi hoăng.
忠厚侯是夜遁去復歸	Trung Hậu hầu thị dạ độn khứ phục quy..
于莫	vu Mạc.
初忠厚侯出身閹䆠歷事莫登庸官至掌部聞	Sơ, Trung Hậu hầu xuất thân yêm quan lịch sự Mạc Đăng Dung, quan chí Chưởng bộ văn.
帝起兵恢復境土乃與莫人共謀以計詐降每欲誤帝	Đế khởi binh khôi phục cảnh thổ nãi dữ Mạc nhân cộng mưu dĩ kế trá hàng mỗi dục ngộ Đế.
事不果乃隂置毒誤太宰金	Sự bất quả nãi âm trí độc ngộ Thái tể Kim.
金不意巾毒	Kim bất ý cân độc.
帝詔贈金爲昭勳靖公謚忠憲遣人扶歸宋山沛庄厚塟之	Đế chiếu tặng kim vi Chiêu Huân Tĩnh công, thuỵ Trung Hiến, khiến nhân phù quy Tống Sơn Bái Trang hậu táng chi.
封其長子汪爲朗郡公次子黄爲夏溪侯使領兵討賊	Phong kì trưởng tử Uông vi Lãng quận công, thứ tử Hoàng vi Hạ Khê hầu, sử lĩnh binh thảo tặc.
八月帝封翼郡公鄭檢爲都将節制各處水步諸營兼總内外平章軍國重事太師諒國公	Bát nguyệt, Đế phong Dực quận công Trịnh Kiểm vi Đô tướng tiết chế các xứ thuỷ bộ chư doanh, kiêm Tổng nội ngoại bình chương quân quốc trọng sự Thái sư Lượng quốc công.
凣閫外兵權國家事務謀畧籌畫遠近封拜皆得	Phàm khổn ngoại binh quyền quốc gia sự vụ mưu lược trù hoạch viễn cận phong bái giai đắc..
便宜栽决然後奏聞	tiện nghi tài quyết nhiên hậu tấu văn.
諒國公益督忠貞凣二機務决斷分明眾目悉󰁮	Lượng quốc công ích đốc trung trinh phàm nhị cơ vụ quyết đoán phân minh chúng mục tất cử.
丙午十四年莫廣和六年〇	Bính Ngọ thập tứ niên, [Mạc Quảng Hoà lục niên .
明嘉靖二十五年帝立行殿于萬頼凡有攻討必委太師諒國公統領所向克捷由是驩演烏廣諸州豪傑𧡟投營門咸樂爲用愛州疆土稍平五月初八日莫福海卒	Minh Gia Tĩnh nhị thập ngũ niên,] Đế lập hành điện vu Vạn Lại, phàm hữu công thảo tất uỷ Thái sư Lượng quốc công thống lĩnh, sở hướng khắc tiệp, do thị Hoan, Diễn, Ô, Quảng, chư châu hào kiệt quan đầu doanh môn hàm lạc vi dụng, Ái Châu cương thổ sảo bình Ngũ nguyệt, sơ bát nhật, Mạc Phúc Hải tốt.
長子福原立以明年爲永定元年	Trưởng tử Phúc Nguyên lập, dĩ minh niên vi Vĩnh Định nguyên niên.
丁未十五年莫永定元年〇	Đinh Mùi thập ngũ niên, [Mạc Vĩnh Định nguyên niên .
明嘉靖二十六年春莫開會試科	Minh Gia Tĩnh nhị thập lục niên,] xuân, Mạc khai Hội thí khoa.
賜楊	Tứ Dương..
福滋范瑜阮濟等進士及第阮敬止等八人進士出身武灝等十九人同進士出身	Phúc Tư, Phạm Du, Nguyễn Tế đẳng tiến sĩ cập đệ, Nguyễn Kính Chỉ đẳng bát nhân tiến sĩ xuất thân, Vũ Hạo đẳng thập cửu nhân đồng tiến sĩ xuất thân.
報天塔崩〇	Báo thiên tháp băng .
莫将泗陽侯范子儀謀立莫宗子弘王正中爲主不克遂作乱脅遷正中于御天華陽	Mạc tướng Tứ Dương hầu Phạm Tử Nghi mưu lập Mạc tông tử Hoằng Vương Chính Trung vi chủ bất khắc, toại tác loạn hiếp thiên Chính Trung vu Ngự Thiên, Hoa Dương.
莫使謙王敬典與西郡公阮敬等𤼵兵捕之爲子儀所敗	Mạc sử Khiêm Vương Kính Điển dữ Tây quận công Nguyễn Kính đẳng phát binh bổ chi vi Tử Nghi sở bại.
後子儀累戰不克乃挾正中出㨿安廣地方	Hậu, Tử Nghi luỵ chiến bất khắc nãi hiệp Chính Trung xuất cứ Yên Quảng địa phương.
海陽之民頻罹兵火多至流亡	Hải Dương chi dân tần li binh hoả đa chí lưu vong.
子儀又竄入明地縱兵擄掠廣東廣西	Tử Nghi hựu thoán nhập Minh địa, tung binh lỗ lược Quảng Đông, Quảng Tây.
明人不䏻制	Minh nhân bất năng chế.
子儀安陽人	[Tử Nghi An Dương nhân.]..
戊申十六年莫改永定爲景曆元年明嘉靖二十七年春正月二十九日帝崩	Mậu Thân thập lục niên, [Mạc cải Vĩnh Định vi Cảnh Lịch nguyên niên, Minh Gia Tĩnh nhị thập thất niên,] xuân chính nguyệt, nhị thập cửu nhật, Đế băng.
太子暄立以明年爲順平元年	Thái tử Huyên lập, dĩ minh niên vi Thuận Bình nguyên niên.
上大行皇帝尊號曰裕皇帝廟號荘宗	Thượng Đại Hành Hoàng đế tôn hiệu viết Dụ Hoàng Đế, miếu hiệu Trang Tông.
莫封范瓊爲榮郡公及其子瑤爲富州侯	Mạc phong Phạm Quỳnh vi Vinh quận công, cập kì tử Dao vi Phú Châu hầu.
瓊青池盛烈人〇	[Quỳnh Thanh Trì, Thịnh Liệt nhân.] .
莫遣黎光賁如明歲貢	Mạc khiến Lê Quang Bí như Minh tuế cống.
中宗武皇帝諱暄莊宗長子在位八年壽二十二歲附莫福原八年帝委任忠謀勦誅僣簒可謂有帝王之畧然享齡不久先王境土未盡克復惜哉己酉順平元年莫景曆二年明嘉靖二十八年莫以東道将缺名爲經國公北道将莫廷科爲嘉國公西道将阮敬爲	Trung Tông Vũ Hoàng Đế [Huý Huyên Trang Tông trưởng tử. Tại vị bát niên thọ nhị thập nhị tuế.] Phụ Mạc [Phúc Nguyên bát niên,] [Đế uỷ nhiệm trung mưu, tiễu tru tiếm soán, khả vị hữu đế vương chi lược, nhiên hưởng linh bất cửu, tiên vương cảnh thổ vị tận khắc phục. Tích tai!] Kỷ Dậu Thuận Bình nguyên niên, [Mạc Cảnh Lịch nhị niên, Minh Gia Tĩnh nhị thập bát niên,] Mạc dĩ Đông Đạo tướng [khuyết danh,] vi Kinh quốc công, Bắc Đạo tướng Mạc Đình Khoa vi Gia quốc công, Tây đạo tướng Nguyễn Kính vi..
太尉西國公阮凱康爲太尉端國公並賜姓莫	thái uý Tây quốc công, Nguyễn Khải Khang vi Thái uý Đoan quốc công, tịnh tứ tính Mạc.
南道将黎伯驪爲太宰奉國公及上下臣属皆受封以圖保守境土〇	Nam Đạo tướng Lê Bá Li vi Thái tể Phụng quốc công, cập thượng hạ thần thuộc giai thụ phong dĩ đồ bảo thủ cảnh thổ .
莫福原棄昇龍城正殿移居外境内騷動	Mạc Phúc Nguyên khí Thăng Long thành chính điện, di cư ngoại cảnh nội tao động.
三月以范篤爲金吾衛掌事封廣郡公	Tam nguyệt, dĩ Phạm Đốc vi Kim Ngô vệ chưởng sự phong Quảng quận công.
篤永福土山人庚戌二年莫景曆三年〇	[Đốc Vĩnh Phúc Thổ Sơn nhân,] Canh Tuất nhị niên, [Mạc Cảnh Lịch tam niên .
明嘉靖二十九年莫開會試科	Minh Gia Tĩnh nhị thập cửu niên,] Mạc khai Hội thí khoa.
賜陳文寶陳聞阮明揚等進士及第黎欽等四人進士出身阮承休等十八人同進士出身	Tứ Trần Văn Bảo Trần Văn, Nguyễn Minh Dương, đẳng tiến sĩ cập đệ, Lê Khâm đẳng tứ nhân tiến sĩ xuất thân, Nguyễn Thừa Hưu đẳng thập bát nhân đồng tiến sĩ xuất thân.
時莫福原聽范瓊范瑤父子讒言	Thời, Mạc Phúc Nguyên thính Phạm Quỳnh, Phạm Dao phụ tử sàm ngôn.
南道将太宰	Nam Đạo tướng Thái tể..
奉國公黎伯驪及其子普郡公黎克慎文臣吏部尙書御史󰉟都御史東閣大學士八侍經筵舒郡公阮倩及其子阮倦阮俛等各率本部兵百餘夜遁入清華隘䦕請降	Phụng quốc công Lê Bá Li cập kì tử Phổ quận công Lê Khắc Thận, văn thần Lại bộ thượng thư ngự sử đài đô ngự sử Đông Các đại học sĩ bát thị kinh diên Thư quận công Nguyễn Thiến cập kì tử Nguyễn Quyện, Nguyễn Phủ, đẳng các suất bản bộ binh bách dư dạ độn nhập Thanh Hoa ải quan thỉnh hàng.
許之	Hứa chi.
因詣闕拜謁	Nhân nghệ khuyết bái yết.
帝大喜賞賜慰勞	Đế đại hỉ, thưởng tứ uý lạo.
自是豪傑之士雲集響應莫不歡心	Tự thị, hào kiệt chi sĩ vân tập hưởng ứng, mạc bất hoan tâm.
辛亥三年莫景曆四年明嘉靖三十年莫使敬典等督兵討莫正中及范子儀于安廣逐之獲子儀送赴京斬之傅首于明	Tân Hợi tam niên, [Mạc Cảnh Lịch tứ niên Minh Gia Tĩnh tam thập niên,] Mạc sử Kính Điển đẳng đốc binh thảo Mạc Chính Trung, cập Phạm Tử Nghi vu Yên Quảng, trục chi, hoạch Tử Nghi tống phó kinh trảm chi, phó thủ vu Minh.
明人不受遂還之	Minh nhân bất thụ toại hoàn chi.
正中奔入明國境死	Chính Trung bôn nhập Minh quốc cảnh, tử..
于明	vu Minh.
