大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
九日㫖揮御前各軍及五道諸衛軍僃辨粮食用二箇月限本月二十日就東京土分點目習藝	Cửu nhật, chỉ huy ngự tiền các quân cập ngũ đạo chư vệ quân bị biện lương thực dụng nhị cá nguyệt, hạn bản nguyệt nhị thập nhật tựu Đông Kinh thổ phận điểm mục tập nghệ.
若清化乂安新平順化各鎮鎮軍即就本府本鎮土分點閲	Nhược Thanh Hoá, Nghệ An, Tân Bình, Thuận Hoá các trấn, trấn quân tức tựu bản phủ bản trấn thổ phận điểm duyệt.
違者治罪	Vi giả trị tội.
十二日㫖揮文武百官自六品以上有所官及藩鎮父道首領官等有嫡子孫或同異籍並免税并當差	Thập nhị nhật, chỉ huy văn vũ bách quan: tự lục phẩm dĩ thượng hữu sở quan cập phiên trấn phụ đạo, thủ lĩnh quan đẳng hữu đích tử tôn hoặc đồng dị tịch tịnh miễn thuế tịnh đương sai.
若築鼎耳堤路及警急事務不免其嫡子孫各聽報名赴監讀書以俟󰱇用	Nhược trúc đỉnh nhĩ đê lộ cập cảnh cấp sự vụ bất miễn kì đích tử tôn các thính báo danh phó giám độc thư dĩ sĩ tuyển dụng.
㫖揮京城及諸府路縣州社󰀋村庄等今後銅錢破鈌猶穿得	Chỉ huy kinh thành cập chư phủ, lộ, huyện, châu, xã, sách, thôn, trang đẳng kim hậu đồng tiền phá khuyết do xuyên đắc..
緡貫即流通使用不得拒斥若已斷鈌穿緡不得即不用	mân quán tức lưu thông sử dụng, bất đắc cự xích, nhược dĩ đoạn khuyết xuyên mân bất đắc tức bất dụng.
違拒揀擇亦同罪國	Vi cự giản trạch diệc đồng tội quốc.
初以來數出詔旨禁民拒斥而庫吏收税常揀好錢民間禁不能止故更有是令	Sơ dĩ lai sổ xuất chiếu chỉ cấm dân cự xích nhi khố lại thu thuế thường giản hiếu tiền dân gian cấm bất năng chỉ cố cánh hữu thị lệnh.
十三日除内外大小官員黎豸等一百五十六人	Thập tam nhật, trừ nội ngoại đại tiểu quan viên Lê Trãi đẳng nhất bách ngũ thập lục nhân.
其輕赦徒流罪潘季卿等亦預焉	Kì khinh xá đồ lưu tội Phan Quý Khanh đẳng diệc dự yên.
十五日帝謁廟是後命文官行禮帝出較塲觀𡐡神黎察等及文武内外百官告天地神祗名山大川刑帛馬歃血盟誓及差官𦤶祭天下各處神祗	Thập ngũ nhật, đế yết miếu thị, hậu mệnh văn quan hành lễ Đế xuất giảo trường quan đại thần Lê Sát đẳng cập văn vũ nội ngoại bách quan cáo thiên, địa, thần kì, danh sơn, đại xuyên, hình bạch mã sáp huyết minh thệ cập sai quan trí tế thiên hạ các xứ thần kì.
㫖揮天下諸路縣官	Chỉ huy thiên hạ chư lộ, huyện quan..
等速具本路應試士人期以本月二十五日赴本道點集至二月初一日考試	đẳng tốc cụ bản lộ ứng thí sĩ nhân, kì dĩ bản nguyệt nhị thập ngũ nhật phó bản đạo điểm tập, chí nhị nguyệt sơ nhất nhật khảo thí.
中󰱇者免徭役補入國子監	Trúng tuyển giả miễn dao dịch bổ nhập Quốc tử giám.
若在各路學讀書者二十五歲以上考不中者還民	Nhược tại các lộ học độc thư giả, nhị thập ngũ tuế dĩ thượng khảo, bất trúng giả hoàn dân.
以咱侯文队杜順等五人爲國子監敎授	Dĩ Thính hầu văn đội Đỗ Thuận đẳng ngũ nhân vi Quốc tử giám giáo thụ.
二十八日旨揮大臣百官今後不得徃來郡王所	Nhị thập bát nhật, chỉ huy đại thần bách quan: kim hậu bất đắc vãng lai quận vương sở.
郡王無人召即不得入朝	Quận vương vô nhân triệu tức bất đắc nhập triều.
有私引入或門者咱入及百官有私至其家者加重罪	Hữu tư dẫn nhập hoặc môn giả thính nhập cập bách quan hữu tư chí kì gia giả gia trọng tội.
時有侍兒三人走来奏郡王言多妖妄不順故有是命	Thời hữu thị nhi tam nhân tẩu lai tấu quận vương, ngôn đa yêu vọng bất thuận, cố hữu thị mệnh.
以御前學生程清阮文錫等	Dĩ ngự tiền học sinh Trình Thanh, Nguyễn Văn Tích đẳng..
為御前學生局長朱三省陳封為局副裴時亨為太師丞	vi Ngự tiền học sinh cục trưởng Chu Tam Tỉnh Trần Phong vi cục phó Bùi Thời Hanh vi Thái sư thừa.
二月初三日諒山鎮管領黄原懿謀反命北道司馬黎文安討之	Nhị nguyệt sơ tam nhật Lạng Sơn trấn quản lĩnh Hoàng Nguyên Ý mưu phản Mệnh Bắc đạo Tư mã Lê Văn An thảo chi.
四日考天下學生中考者千餘人分爲三等一等二等還國子監三等還路學讀書並免徭役	Tứ nhật khảo thiên hạ học sinh trúng khảo giả thiên dư nhân phân vi tam đẳng nhất đẳng nhị đẳng hoàn quốc tử giám tam đẳng hoàn lộ học độc thư tịnh miễn dao dịch.
八日以御前武隊莫吞等四十七人為諸路鎮撫	Bát nhật dĩ Ngự tiền võ đội Mạc Thôn đẳng tứ thập thất nhân vi chư lộ trấn phủ.
先帝時各衛將校過犯降為武隊至是復用之	Tiên đế thời các vệ tướng hiệu quá phạm giáng vi võ đội, chí thị phục dụng chi.
以黎犬爲入内少尉參知海西道諸衛君事太監如故黎謙爲都	Dĩ Lê Khuyển vi nhập nội thiếu uý, tham tri hải tây đạo chư vệ quân sự thái giám như cố; Lê Khiêm vi Đô..
押衙知左𤤻事	áp nha tri tả ban sự.
罷南道行遣黎克復爲判大宗正	Bãi Nam đạo Hành khiển Lê Khắc Phục vi Phán đại tông chính.
時黎察既殺仁澍疑克復有怨奏奪其權使知獄訟	Thời Lê Sát ký sát Nhân Chú nghi Khắc Phục hữu oán, tấu đoạt kì quyền sử tri ngục tụng.
克復乃仁澍同母弟也	Khắc Phục nãi Nhân Chú đồng mẫu đệ dã.
以黎國楨爲南道行遣知軍民簿籍政事詞訟如故	Dĩ Lê Quốc Trinh vi Nam đạo hành khiển tri quân dân bạ tịch chính sự, từ tụng như cố.
以黎乘爲鐵突中軍行軍總領黎醯爲殿前都檢點同太監内外諸役黎棲爲指揮使	Dĩ Lê Thừa vi Thiết đột trung quân hành quân tổng lĩnh; Lê Ê vi Điện tiền đô kiểm điểm đồng thái giám nội ngoại chư dịch; Lê Thê vi chỉ huy sứ.
遣大司徒黎察司寇黎銀司馬黎列黎盃等選各道丁壯爲兵	Khiển đại tư đồ Lê Sát, Tư khấu Lê NGân, Tư mã Lê Liệt, Lê Bôi đẳng tuyển các đạo đinh tráng vi binh.
旨揮係軍民諸色男並選取	Chỉ huy: hệ quân, dân chư sắc nam tịnh tuyển thủ.
若文武自六品以上有所管男及國子監生諸色役已有	Nhược văn vũ tự lục phẩm dĩ thượng, hữu sở quản nam cập Quốc tử giám sinh, chư sắc dịch dĩ hữu..
岝字官賜公奴私奴並免	trách tự quan tứ công nô tư nô tịnh miễn.
若御前武隊鉄突有一二三男止免一丁其軍民自三男以上亦免一丁餘並選取	Nhược ngự tiền, võ đội, thiết đột hữu nhất nhị tam nam chỉ miễn nhất đinh; kì quân, dân tự tam nam dĩ thượng diệc miễn nhất đinh, dư tịnh tuyển thủ.
大司徒黎察以前違事䄇宏伯有可矜惜使少保黎國興編赦免舊官籍詔勑㫖各與本道行遣咱候欲復用之	Đại tư đồ Lê Sát dĩ tiền vi sự Trình Hoành Bá hữu khả căng tích, sử Thiếu bảo Lê Quốc Hưng biên xá miễn cựu quan, tịch chiếu sắc chỉ các dữ bản đạo hành khiển thính hầu dục phục dụng chi.
言官阮天錫裴擒虎等奏曰先帝有旨黎國噐䄇宏伯黎德轝等雖有才不可復用	ngôn quan Nguyễn Thiên Tích, Bùi Cầm Hổ đẳng tấu viết: Tiên đế hữu chỉ Lê Quốc Khí, Trình Hoành Bá, Lê Đức Dư đẳng, tuy hữu tài bất khả phục dụng.
臣下有謀叛逆須告者不容彼告	Thần hạ hữu mưu phản nghịch tu cáo giả bất dung bỉ cáo.
今若舉之是違先帝旨也	Kim nhược cử chi thị vi tiên đế chỉ dã.
且如宏伯等誰更用之	Thả như Hoành Bá đẳng thuỳ cánh dụng chi?.
遂却其名令補軍伍既而慮宏伯在	Toại khước kì danh, lệnh bổ quân ngũ ký nhi lự Hoành Bá tại..
軍必復生事有害於是岝還民産	quân, tất phục sinh sự hữu hại, ư thị trách hoàn dân sản.
初太祖晚年多疾病又君王思齊狂悖帝由幼冲而陳元扞范文巧皆常有佐命功頗得時望	Sơ Thái Tổ vãn niên đa tật bệnh, hựu quân vương [Tư Tề] cuồng bột, đế do ấu xung, nhi Trần Nguyên Hãn, Phạm Văn Xảo giai thường hữu tá mệnh công pha đắc thời vọng.
元扞又陳族子孫而文巧亦京路人慮他日有異志外雖崇其禮而内實疑之	Nguyên Hãn hựu Trần tộc tử tôn nhi Văn Xảo diệc kinh lộ nhân, lự tha nhật hữu dị chí, ngoại tuy sùng kì lễ nhi nội thực nghi chi.
丁󰘊本黎國噐䄇宏伯阮宗贄黎德󰲛之徒逆知其意争上密疏勸太祖决意除之	Đinh Bang Bản, Lê Quốc Khí, Trình Hoành Bá, Nguyễn Tông Chí Lê Đức Dư chi đồ nghịch tri kì ý, tranh thượng mật sớ, khuyên Thái Tổ quyết ý trừ chi.
有不悅者國噐輙指爲二家之黨死徒者葚眾	Hữu bất duyệt giả, Quốc Khí triếp chỉ vi nhị gia chi đảng, tử đồ giả thậm chúng.
群臣皆畏其口然太祖深知國噐等皆傾巧小人心常疾之	Quần thần giai uý kì khẩu nhiên Thái Tổ thâm tri Quốc Khí đẳng giai khuynh xảo tiểu nhân, tâm thường tật chi.
其後俱以事繼斥竄仍慮其	Kì hậu cụ dĩ sự, kế xích thoán, nhưng lự kì..
復進故以是戒之	phục tiến cố dĩ thị giới chi.
咱安𢮿越忙父道琴公冠帶入朝	Thính An quải Việt Mường phụ đạo cầm công quán đái nhập triều.
十四日忙禮州刁孟旺母來降刁吉罕之妻也刁吉罕既死子孟旺奉其母㱕故地	Thập tứ nhật, Mường Lễ châu Điêu Mạnh Vượng mẫu lai hàng [Đèo Cát Hãn chi thê dã] Đèo Cát Hãn ký tử, Tử Mạnh Vượng phụng kì mẫu quy cố địa.
母猶先為納疑帝問曰孟旺何不自來	Mẫu do tiên vi nạp, nghi đế vấn viết: Mạnh Vượng hà bất tự lai.
對曰旺爲其弟道收引慮忙來相争以故不得遠離其地老妾先㱕命朝廷	Đối viết: Vượng vị kì đệ Đạo Thu dẫn Lự Mường lai tương tranh dĩ cố bất đắc viễn li kì địa, lão thiếp tiên quy mệnh triều đình.
帝使人諭之㱕報孟旺入朝	Đế sử nhân dụ chi quy báo Mạnh Vượng nhập triều.
十五日旨揮文武官員諸人所進之賢所上之言朕𡸈不聞但眾人所言不有其謀可釆所進皆妄以常人	Thập ngũ nhật, chỉ huy văn võ quan viên chư nhân: "Sở tiến chi hiền, sở thượng chi ngôn trẫm khởi bất văn? Đán chúng nhân sở ngôn bất hữu kì mưu khả thái, sở tiến giai vọng dĩ thường nhân.
諸人有意爲國即更留心旁訪或隐	Chư nhân hữu ý vị quốc, tức cánh lưu tâm bàng phỏng hoặc ẩn..
逸山林或棲身村也朝廷試用未及者薦得賢才十二人以佐朕圖治如此可謂為國盡忠其賞不等	dật sơn lâm hoặc thê thân thôn dã, triều đình thí dụng vị cập giả, tiến đắc hiền tài thập nhị nhân dĩ tá trẫm đồ trị, như thử khả vị vị quốc tận trung, kì thưởng bất đẳng.
二十二日司馬黎文安征還	Nhị thập nhị nhật, Tư Mã Lê Văn An chinh hoàn.
初諒山鎮黄原懿黄文萼阮世寧阮公廷皆本鎮父道以歸國有功並拜管領仍居其地	Sơ Lạng Sơn trấn Hoàng Nguyên Ý, Hoàng Văn Ngạc, Nguyễn Thế Ninh, Nguyễn Công Đình giai bản trấn phụ đạo, dĩ quy quốc hữu công, tịnh bái quản lĩnh, nhưng cư kì địa.
宣慰黎圖黎弄等不能撫馭原懿等皆𢙇怨	Tuyên uý Lê Đồ, Lê Lộng đẳng bất năng phủ ngự, Nguyên Ý đẳng giai hoài oán.
郡王有妾因事退出	Quận vương hữu thiếp, nhân sự thoái xuất.
原懿來朝見而悅之潜載以㱕𦤶其事露	Nguyên Ý lai triều kiến nhi duyệt chi, tiềm tải dĩ quy, trí kì sự lộ.
又有懿奴飛豹者因懿撻走入圖弄等乃騰告謂原懿已起兵	Hựu hữu Ý nô Phi Báo giả, nhân Ý thát, tẩu nhập Đồ, Lộng đẳng, nãi đằng cáo vị Nguyên Ý dĩ khởi binh.
帝即命文安將御前鉄突及北	Đế tức mệnh Văn An tương Ngự tiền, Thiết đột cập Bắc..
道兵討之	đạo binh thảo chi.
及至則文萼爲鎮兵所殺	Cập chí tắc Văn Ngạc vị trấn binh sở sát.
懿等各棄妻子亡入吳地	Ý đẳng các khí thê tử vong nhập Ngô địa.
文安乃散軍搜捕四人親戚奴婢産畜併及鎮軍妻子千餘人㱕献	Văn An nãi tán quân sưu bổ tứ nhân thân thích, nô tì, sản súc tính cập trấn quân thê tử thiên dư nhân quy hiến.
帝尽釋其民人以四人家属給賜群臣	Đế tận thích kì dân nhân, dĩ tứ nhân gia thuộc cấp tứ quần thần.
夏四月朔命百官迎吉州法雲寺佛赴東京禱雨	Hạ tứ nguyệt, sóc, mệnh bách quan nghinh Cát Châu Pháp Vân tự phật phó Đông Kinh đảo vũ.
時天久不雨而徒以迎佛誦咒為祈禱	Thời thiên cửu bất vũ nhi đồ dĩ nghinh Phật tụng chú vi kì đảo.
阮天祐奏疏曰陛下脩德録寃囚出宮女而天不雨請斬臣以謝天下	Nguyễn Thiên Hựu tấu sớ viết: Bệ hạ tu đức, lục oan tù, xuất cung nữ, nhi thiên bất vũ thỉnh trảm thần dĩ tạ thiên hạ".
大司徒黎察惡其言直疏未報會有小雨乃呼天祐問之曰昨暮非小雨耶	Đại tư đồ Lê Sát ố kì ngôn trực, sớ vị báo, hội hữu tiểu vũ, nãi hô Thiên Hựu vấn chi viết: "Tạc mộ phi tiểu vũ da?".
又有清化宣光等路官奏雨狀適至併以示天祐天祐無以對	Hựu hữu Thanh Hoá, Tuyên Quang đẳng lộ quan tấu vũ trạng thích chí, tính dĩ thị Thiên Hựu, Thiên Hựu vô dĩ đối.
流監生阮德明于遠州	Lưu giám sinh Nguyễn Đức Minh vu viễn châu.
德明家赴監有匿名書粘於道傍神祠壁上有大司徒察都督問同謀殺翁士即仁澍也判大理語	Đức Minh gia phó Giám, hữu nặc danh thư niêm ư đạo bàng thần từ bích thượng hữu: "Đại tư đồ Sát, Đô đốc Vấn đồng mưu sát ông Sĩ [Tức Nhân Chú dã] phán đại lí ngữ".
德明召人來觀既而自取毀裂投水中	Đức Minh triệu nhân lai quan ký nhi tự thủ huỷ liệt đầu thuỷ trung.
察疑德明所作撂拷不服將斬之刑官以為疑罪乃得减死流之没其家財	Sát nghi Đức Minh sở tác, lược khảo bất phục, tương trảm chi, HÌnh quan dĩ vi nghi tội, nãi đắc giảm tử lưu chi, một kì gia tài.
乂安府進御舶至大通塲夜爲雷霆所燒	Nghệ An phủ tiến ngự bạc, chí Đại Thông trường, dạ vị lôi đình sở thiêu.
復以黎可爲榮祿大夫諒山鎮宣慰大使知軍民事以黎汝祖爲政事院同參	Phục dĩ Lê khả vi Vinh lộc đại phu Lạng Sơn trấn tuyên uý đại sứ tri quân dân sự; Dĩ Lê NHữ Tổ vi Chính sự viện đồng tham..
議爵明字	nghị tước Minh tự.
赦輕囚數十人以久旱故也	Xá khinh tù sổ thập nhân dĩ cửu hạn cố dã.
十九日清化府巴隆忙民叛㱕哀牢巡察黎統討之斬其丁壮虜男女三十餘口	Thập cửu nhật Thanh Hoá phủ Ba Long Mường dân phản quy Ai Lao Tuần sát Lê Thống thảo chi trảm kì đinh tráng lỗ nam nữ tam thập dư khẩu.
立斬罪囚	Lập trảm tội tù.
初威遠軍人阮禀中軍鉄突程壽祿以盗誘官賜奴婢人爲業	Sơ uy viễn quân nhân Nguyễn Bẩm trung quân Thiết đột Trình Thọ Lộc dĩ đạo dụ quan tứ nô tì nhân vi nghiệp.
司馬黎列捕得奏之	Tư mã Lê Liệt bổ đắc tấu chi.
時官私奴婢多亡失大司徒察怒甚命刑官立鞠於殿庭辝竟曳出斬之	Thời Quan tư nô tì đa vong thất, Đại tư đồ Sát nộ thậm, mệnh hình quan lập cúc ư điện đình từ cánh duệ xuất trảm chi.
占城掠化州人	Chiêm Thành lược Hoá châu nhân.
占城主布提聞太祖崩以帝初嗣位疑中國有变親将兵出屯近境欲謀入㓂	Chiêm Thành chủ Bố Đề văn Thái Tổ băng dĩ đế sơ tự vị, nghi Trung Quốc hữu biến, thân tương binh xuất đồn cận cảnh, dục mưu nhập khấu.
以虚實未審無所訊問乃使船	Dĩ hư thực vị thẩm, vô sở tấn vấn, nãi sử thuyền..
潜入越海口掩捕數人而去	tiềm nhập, việt hải khẩu, yểm bổ sổ nhân nhi khứ.
民追格鬪擒󰱐二人來献	Dân truy cách đấu cầm hoạch nhị nhân lai hiến.
二十二日設醮于勤政殿以旱灾妨農雷震燒船故也	Nhị thập nhị nhật thiết tiếu vu Cần Chính điện, dĩ hạn tai phòng nông, lôi chấn thiêu thuyền cố dã.
二十五日五道各衛軍將校陞除自衛同知管領下至隊長八百五十一員在内任陞充及御前各軍選授者五百九十六員有事輕赦録用者二百五十五員	Nhị thập ngũ nhật, ngũ đạo các vệ quân tướng hiệu thăng trừ tự vệ đồng tri quản lĩnh hạ chí đội trưởng bát bách ngũ thập nhất viên, tại nội nhậm thăng sung cập ngự tiền các quân tuyển thụ giả ngũ bách cửu thập lục viên; hữu sự khinh xá lục dụng giả nhị bách ngũ thập ngũ viên.
内密官唱各給勑自旦至晡不能尽	Nội mật quan xướng các cấp sắc tự đán chí bô bất năng tận.
其在内未陞者賞爵各一資	Kì tại nội vị thăng giả thưởng tước các nhất tư.
五月丁丑朔輟朝	Ngũ nguyệt, Đinh Sửu, sóc, xuyết triều.
先是太史裴時亨密奏五月	Tiên thị, Thái sử Bùi Thời Hanh mật tấu ngũ nguyệt..
初一日有黑猿精啖日日當食日食則國有灾	sơ nhất nhật, hữu hắc viên tinh đạm nhật nhật đương thực nhật thực tắc quốc hữu tai.
若得生猿殺以厭之則灾可弭	Nhược đắc sinh vượn sát dĩ yếm chi tắc tai khả nhĩ.
大司徒黎殺信之奏令宣光太原等鎮官督民蒐羅林谷檻送猿猱前後将繼至日	Đại tư đồ Lê Sát tín chi, tấu lệnh Tuyên Quang, Thái Nguyên đẳng trấn quan đốc dân sưu la lâm cốc, hạm tống viên nhu tiền hậu tương kế chí nhật.
停朝而行其法於禁中百官不得知	Đình triều nhi hành kì pháp ư cấm trung, bách quan bất đắc tri.
時亨惟奏禮部侍郎舊道士䄇全陽𭁈俱皆得厚賞	Thì Hanh duy tấu Lễ bộ thị lang cựu đạo sĩ Trình Toàn Dương dữ cụ giai đắc hậu thưởng.
五日旨揮諸府路鎮縣社󰀋庄等今年民丁潭池税即依癸丑年例桑州税依新定例	NGũ nhật, chỉ huy chư phủ, lộ, trấn, huyện, xã, sách, trang đẳng: Kim niên dân đinh, đàm trì, thuế tức y Quý Sửu niên lệ, tang châu thuế y tân định lệ.
十一日京城失火延燒數百餘家人有死者	Thập nhất nhật, Kinh thành thất hoả, diên thiêu sổ bách dư gia nhân hữu tử giả.
十二日遣五道君煇武於校塲引	Thập nhị nhật, khiển ngũ đạo quân huy võ ư hiệu trường dẫn..
占城俘來觀而遣之	Chiêm Thành phù lai quan nhi khiển chi.
命入内司馬黎列總督乂安新平順化諸軍就新平順化地方巡哨若過占城草賊劫掠边境将校軍人臨戰違令及𢙇二却退者咱先斬後奏	Mệnh Nhập nội tư mã Lê liệt tổng đốc Nghệ An, Tân Bình, Thuận Hoá chư quân tựu Tân Bình, Thuận Hoá địa phương tuần tiếu, nhược quá Chiêm Thành thảo tặc kiếp lược biên cảnh tương hiệu quân nhân lâm chiến vi lệnh cập hoài nhị khước thoái giả thính tiên trảm hậu tấu.
又命入内少尉黎魁行遣總管黎炪同督新平順化諸軍隨之	Hựu mệnh nhập nội thiếu uý Lê Khôi, Hành khiển tổng quản Lê Truất, đồng đốc Tân Bình, Thuận Hoá chư quân tuỳ chi.
十六日命宣撫使阮宗胄中書黄門侍郎蔡君實耆人戴良弼等賫表文及方物往求封于明	Thập lục nhật, mệnh Tuyên phủ sứ Nguyễn Tông Trụ, Trung thư hoàng môn thị lang Thái Quân Thực, Kì nhân Đái Lương Bật đẳng tê biểu văn cập phương vật vãng cầu phong vu Minh.
行遣阮廌作奏本成内密院阮叔惠学士黎景綽等欲改數字阮廌怒曰爾軰聚歛臣罹此旱灾	Hành khiển Nguyễn Trãi tác tấu bản thành, Nội mật viện Nguyễn Thúc Huệ, Học sĩ Lê Cảnh Xước đẳng dục cải sổ tự, Nguyễn Trãi nộ viết: "Nhĩ bối tụ liễm thần li, thử hạn tai..
爾等所致也	nhĩ đẳng sở trí dã".
叔惠告於大司徒察都督問察問怒之讓廌曰致天灾非此属過也𠧨在君相耳公相責何太甚耶	Thúc Huệ cáo ư Đại tư đồ Sát, Đô đốc Vấn Sát Vấn nộ chi nhượng Trãi viết: "Trí thiên tai phi thử thuộc quá dã, cữu tại quân tướng nhĩ, công tương trách hà thái thậm da?".
廌詞謝曰叔惠以掊克小才居天下樞要每有奏簿皆欲損民㱕官以求合上意故僕因事而𭛁耳非有所訊議君相也	Trãi từ tạ viết: Thúc Huệ dĩ bồi khắc tiểu tài cư thiên hạ khu yếu mỗi hữu tấu bạ giai dục tổn dân quy quan dĩ cầu hợp thượng ý cố bộc nhân sự nhi phát nhĩ phi hữu sở tấn nghị quân tướng dã".
察怒尙未觧然奏本猶因廌不改	Sát nộ thượng vị giải Nhiên tấu bản do nhân Trãi bất cải.
十八日旨揮諸路鎮縣各隊巡檢司把関隘等嚴加巡守搜捕盗刼	Thập bát nhật chỉ huy chư lộ trấn huyện các đội tuần kiểm ti bả quan ải đẳng nghiêm gia tuần thủ sưu bổ đạo kiếp.
二十四日辰時有青赤氣状如虹而短並見于東北	Nhị thập tứ nhật thìn thời hữu thanh xích khí trạng như hồng nhi đoản tịnh kiến vu Đông bắc.
天徵降霜	Thiên trưng hàng sương.
斬左𤤻漆作匠匠	TRảm Tả ban Tất tác tượng tượng..
人髙師蕩	nhân Cao Sư Đãng.
時調漆作匠各局起報天寺	Thời điều Tất tác tượng các cục khởi Báo Thiên tự.
土木仲大師蕩勞於役作窃言曰天子不德以致旱灾	Thổ mộc trọng đại, sư Đãng lao ư dịch tác thiết, ngôn viết: Thiên tử bất đức, dĩ trí hạn tai.
大臣受賂󰁮用無功有何善而必崇寺佛乎	Đại thần thụ lộ, cử dụng vô công, hữu hà thiện nhi, tất sùng tự phật hồ".
爲人所告	Vị nhân sở cáo.
大司徒察怒	Đại tư đồ Sát nộ.
審刑阮廷歷曰彼敢妄言及国事當斬	Thẩm hình Nguyễn Đình Lịch viết: "Bỉ cảm vọng ngôn cập quốc sự, đương trảm".
阮天祐裴擒虎奏乞免死帝将從之察曰前咱天祐等不察阮德明使投匿名書相誣今又欲放此人餘人何所懲乎	Nguyễn Thiên Hựu, Bùi Cầm Hổ tấu khất miễn tử, đế tương tòng chi, Sát viết: "Tiền thính Thiên Hựu đẳng, bất sát Nguyễn Đức Minh, sử đầu nặc danh thư tương vu, kim hựu dục phóng thử nhân, dư nhân hà sở trừng hồ?".
天祐不敢復言	Thiên Hựu bất cảm phục ngôn.
遂斬之	Toại trảm chi.
是日適有小雨	Thị nhật thích hữu tiểu vũ.
