大越史記續編序	Đại Việt sử kí tục biên tự.
威德定王整頓乾坤綱維治教專委欽差節制各處水歩諸營兼掌政權太尉晉國公鄭柄賛㐮治化振作文風深帷史記之中明是非而公好惡森乎華衮斧鉞之榮嚴寔為萬世衡鑑	uy đức Định Vương chỉnh đốn càn khôn, cương duy trị giáo, chuyên uỷ Khâm sai tiết chế các xứ thuỷ bộ chư dinh, kiêm Chưởng chính quyền thái uý Tấn quốc Công Trịnh Bính, tán tương trị hoá, chấn tác văn phong, thâm duy sử kí chi trung, minh thị phi nhi công hiếu ố, sâm hồ hoa cổn phủ việt chi vinh nghiêm, thực vi vạn thế hành giám.
乃於事幾之暇特命臣等訂考𦾔史訛者正之純者録之	Nãi ư sự cơ chi hạ, đặc mệnh thần đẳng đính khảo cựu sử, ngoa giả chính chi, thuần giả lục chi.
其世次凣例年表一如前所著述	Kì thế thứ, phàm lệ, niên biểu, nhất như tiền sở trước thuật.
又蓃獵𦾔跡參諸野史類編自玄宗穆皇帝景治之𥘉年至嘉宗羙皇帝德元之二年凣十有三載事實亦命曰本紀續編	Hựu sưu liệp cựu tích, tham chư dã sử, loại biên tự Huyền Tông Mục Hoàng Đế Cảnh Trị chi sơ niên, chí Gia Tông Mĩ Hoàng Đế Đức Nguyên chi nhị niên, phàm thập hữu tam tải sự thực, diệc mệnh viết Bản kỉ tục biên.
書成上進御覽遂命工刊刻頒布天下使徔前	Thư thành, thượng tiến ngự lãm, toại mệnh công san khắc, ban bố thiên hạ, sử tòng tiền ...
天百年未集之事績遹底于成	thiên bách niên vị tập chi sự tích, duật để vu thành.
天下之人目是編者豁然如覩青天坦然如循大路	Thiên hạ chi nhân mục thị biên giả, khoát nhiên như đổ thanh thiên, thản nhiên như tuần đại lộ.
善者知所激昂惡者知所懲𠬠	Thiện giả tri sở khích ngang, ác giả tri sở trừng một.
推而為脩齊治平之極功綏来動和之大效端在是矣	Suy nhi vi tu tề trị bình chi cực công, tuy lai động hoà chi đại hiệu, đoan tại thị hĩ.
謹序	Cẩn tự.
𠱾	Thời ...
正和十八年嵗在丁丑仲冬榖日	Chính Hoà thập bát niên, tuế tại Đinh Sửu, trọng đông, cốc nhật.
奉㫖考編特進金紫榮禄大夫參從刑部尙書知中書監萊山子臣黎僖	Phụng chỉ khảo biên: Đặc tiến Kim tử Vinh lộc đại phu, Tham tụng, Hình bộ Thượng thư tri Trung thư giám, Lai Sơn tử, thần Lê Hi.
光進慎禄大夫陪從户部右侍郎廉堂男臣阮貴德	Quang Tiến Thận Lộc đại phu, Bồi tụng, Hộ bộ Hữu thị lang, Liêm Đường nam, thần Nguyễn Quý Đức.
弘信大夫陪從太僕寺卿知侍内書寫兵番臣阮公董	Hoằng Tín đại phu, Bồi tụng, Thái bộc tự khanh, tri Thị nội thư tả, Binh phiên, thần Nguyễn Công Đổng.
弘信大夫陪從鴻矑寺卿知侍内書寫户	Hoằng Tín đại phu, Bồi tụng, Hồng lô tự khanh, tri Thị nội thư tả, Hộ ...
番臣武城	phiên, thần Vũ Thạnh.
弘信大夫陪從奉天府尹知水師臣何宗穆	Hoằng tín đại phu, Bồi tụng, Phụng Thiên phủ doãn, tri Thuỷ sư, thần Hà Tông Mục.
進功郎陪從吏科級事中知侍内書寫户番臣阮行	Tiến công lang, Bồi tụng, Lại khoa cấp sự trung, tri Thị nội thư tả, Hộ phiên, thần Nguyễn Hành.
進功郎户科給事中臣阮致中	Tiến công lang, Hộ khoa cấp sự trung, thần Nguyễn Trí Trung.
進功郎工科給事中臣阮當褒	Tiến Công lang, Công khoa cấp sự trung, thần Nguyễn Đương Bao.
謹事郎翰林院校理臣阮邁	Cẩn Sự lang, Hàn lâm viện hiệu lí, thần Nguyễn Mại.
謹事佐郎翰林院校討臣阮湖	Cẩn sự tá lang, Hàn lâm viện hiệu thảo, thần Nguyễn Hồi.
謹事佐郎翰林院校討臣吳公擢	Cẩn sự tá lang, Hàn lâm viện hiệu thảo, thần Ngô Công Trạc.
進功郎昭文舘司訓臣陳附翼	Tiến công lang, Chiêu văn quán ti huấn, thần Trần Phụ Dực.
進功郎昭文舘司訓臣杜公弼	Tiến Công lang, Chiêu văn quán ti huấn, thần Đỗ Công Bật.
内差特進金紫榮禄大夫司禮監總太監副知侍内書寫兵番寬海侯臣范廷僚奉監謄刊	Nội sai đặc tiến Kim tử Vinh Lộc đại phu, Tư lễ giám Tổng thái giám, phó tri Thị nội thư tả, Binh phiên, Khoan Hải hầu, thần Phạm Đình Liêu phụng giám đằng san.
内差特進金紫榮禄大夫司禮監同知監事僉知歩兵書寫令史校義侯臣阮成名奉監謄刊	Nội sai đặc tiến Kim tử Vinh lộc đại phu, Tư lễ giám đồng tri giám sự, Thiêm tri bộ binh thư tả lệnh sử, Hiệu Nghĩa hầu, thần Nguyễn Thành Danh phụng giám đằng san.
内差特進金紫榮禄大夫司禮監左監丞	Nội sai đặc tiến Kim tử Vinh lộc đại phu, Tư lễ giám tả giám thừa, ...
珪祥侯臣阮俊堂奉監謄刊	Khuê Tường hầu, thần Nguyễn Tuấn Đường phụng giám đằng san.
内差特進金紫縈禄大夫司禮監左監丞望祥侯臣吳冠倫奉監謄刊	Nội sai đặc tiến Kim tử Vinh lộc đại phu, Tư lễ giám tả giám thừa, Vọng Tường hầu, thần Ngô Quán Luân phụng giám đằng san.
特進金紫縈禄大夫少卿副勾󰧇将臣吏燿堂子臣吳德勝奉㸔謄寫	Đặc tiến Kim tử Vinh lộc đại phu, Thiếu khanh, Phó câu kê tướng thần lại, Diệu Đường tử, thần Ngô Đức Thắng phụng khán đằng tả.
副該合将臣吏少卿洪江男臣棃仕勳奉属㸔謄	Phó cai hợp tướng thần lại, Thiếu khanh, Hồng Giang nam, thần Lê Sĩ Huân phụng thuộc khán đằng.
優中侍内書寫兵番臣髙登朝奉謄	Ưu trúng thị nội thư tả, Binh phiên, thần Cao Đăng Triều phụng đằng.
優中侍内書寫兵番臣杜公廉奉謄	Ưu trúng thị nội thư tả, Binh phiên, thần Đỗ Công Liêm phụng đằng.
優中侍内書寫水兵番臣鄧有斐奉謄	Ưu trúng thị nội thư tả, Thuỷ binh phiên, thần Đặng Hữu Phỉ phụng đằng.
優中都吏臣阮有德奉謄	Ưu trúng Đô lại, thần Nguyễn Hữu Đức phụng đằng.
梓人紅录柳幢等社人奉刊	Tử nhân Hồng Lục, Liễu Chàng đẳng xã nhân phụng san.
大越史記續編書	Đại Việt sử kí tục biên thư.
國史何為而作也盖史以記事為主	Quốc sử hà vi nhi tác dã? Cái sử dĩ kí sự vi chủ.
有一代之治必有一代之史	Hữu nhất đại chi trị, tất hữu nhất đại chi sử.
而史之載筆持論甚嚴如黼黻至治與日月而並明铁鉞亂賊與秋霜而俱厲	Nhi sử chi tải bút trì luận thậm nghiêm, như phủ phất chí trị dữ nhật nguyệt nhi tịnh minh, thiết việt loạn tặc dữ thu sương nhi cụ lệ.
善者知可以為法惡者知可以為戒䦕係治體不為不多	Thiện giả tri khả dĩ vi pháp, ác giả tri khả dĩ vi giới, quan hệ trị thể bất vi bất đa.
故有爲而作也	Cố hữu vi nhi tác dã.
粤自我國繼天地之開闢鴻庞氏首出御世歷至國朝黎恭皇有君有臣有體統其政治之得失世道之隆汚禮樂之興󰲝人物之賢否莫不僃載	Việt tự ngã quốc kế thiên địa chi khai tịch, Hồng Bàng thị thủ xuất ngự thế, lịch chí quốc triều Lê Cung Hoàng, hữu quân hữu thần, hữu thể thống, kì chính trị chi đắc thất, thế đạo chi long ô, lễ nhạc chi hưng phế, nhân vật chi hiền phủ, mạc bất bị tải ...
於史󰀋之中	ư sử sách chi trung.
試嘗考之昔翰林院學士兼國史院監修黎文休承陳太宗之命編大越史記自趙武帝至李昭皇及修史官潘孚先奉皇朝仁宗命續編大越史記自陳太宗至明人還國	Thí thường khảo chi: Tích Hàn lâm viện học sĩ kiêm Quốc sử viện giám tu Lê Văn Hưu, thừa Trần Thái Tông chi mệnh, biên Đại Việt sử kí, tự Triệu Vũ Đế chí Lí Chiêu Hoàng, cập tu sử quan Phan Phu Tiên, phụng Hoàng triều Nhân Tông mệnh, tục biên Đại Việt sử kí, tự Trần Thái Tông chí Minh nhân hoàn quốc.
其抑揚大義已昭昭於史筆之公論矣	Kì ức dương đại nghĩa, dĩ chiêu chiêu ư sử bút chi công luận hĩ.
迨聖宗淳皇帝稟睿智之資厲英雄之志拓土開疆創法定制尤䏻留意史籍	Đãi Thánh Tông Thuần Hoàng Đế, lẫm duệ trí chi tư, lệ anh hùng chi chí, thác thổ khai cương, sáng pháp định chế, vưu năng lưu ý sử tịch.
乃於洪德十年間命禮部左侍郎兼國子監司業吳士連纂修大越史記全書	Nãi ư Hồng Đức thập niên gian, mệnh Lễ bộ tả thị lang kiêm Quốc tử giám tư nghiệp Ngô Sĩ Liên, toản tu Đại Việt sử kí toàn thư.
繼以	Kế dĩ ...
襄翼帝於洪順三年命兵部尙書兼國子監司業兼史官都總裁武󰔂撰大越通鑑述自鴻庞氏至十二使君别為外紀自丁先皇至國朝太祖髙皇帝大定天下𥘉年為本紀	Tương Dực Đế ư Hồng Thuận tam niên, mệnh Binh bộ Thượng thư kiêm Quốc tử giám tư nghiệp kiêm Sử quan đô tổng tài Vũ Quỳnh, soạn Đại Việt Thông Giám, thuật tự Hồng Bàng thị chí Thập nhị sứ quân, biệt vi ngoại kỉ, tự Đinh Tiên Hoàng chí Quốc triều Thái Tổ Cao Hoàng Đế đại định thiên hạ sơ niên vi bản kỉ.
其筆削大法又炳炳於史筆之徵㫖矣	Kì bút tước đại pháp, hựu bính bính ư sử bút chi trưng chỉ hĩ.
至於洪順六年又命少保禮部尙書東閣大學士兼國子監祭酒知經筵事󰦛書伯黎嵩𢮪大越通鑑總論可謂篤志於史學而其是非亦不䏻逃於公議矣	Chí ư Hồng Thuận lục niên, hựu mệnh Thiếu bảo Lễ bộ thượng thư Đông các đại học sĩ kiêm Quốc tử giám tế tửu tri Kinh diên sự Đôn thư bá Lê Tung, soạn Đại Việt Thông Giám Tổng Luận, khả vị đốc chí ư sử học, nhi kì thị phi diệc bất năng đào ư công nghị hĩ.
暨光紹五年又命禮部尙書史官副都總裁知	Kị Quang Thiệu ngũ niên, hựu mệnh Lễ bộ Thượng thư Sử quan phó đô tổng tài tri ...
昭文舘秀林局鄧鳴謙作詠史詩集亦可謂䏻求諷詠於詩而考見其得失矣	Chiêu văn quán Tú lâm cục Đặng Minh Khiêm tác Vịnh Sử Thi Tập, diệc khả vị năng cầu phúng vịnh ư thi, nhi khảo kiến kì đắc thất hĩ.
由是而觀編集國史者屢至再四但未刊板頒布致傳録錯繆不䏻無亥豕魚魯之失	Do thị nhi quan biên tập quốc sử giả lũ chí tái tứ, đán vị khan bản ban bố, trí truyền lục thác mậu bất năng vô "hợi- thỉ, ngư- lỗ" chi thất.
若不委之板正何以洗相沿之故習㢤	Nhược bất uỷ chi bản chính, hà dĩ tẩy tương duyên chi cố tập tai.
欽惟皇上陛下嗣守丕基率循大卞日與大元帥掌國政尙師西王整飭紀綱作興文教專委欽差節制各處水步諸營兼總政柄太尉宜國	Khâm duy: Hoàng thượng bệ hạ tự thủ phỉ cơ, suất tuần đại biện, nhật dữ Đại nguyên soái chưởng quốc chính thượng sư Tây Vương chỉnh sức kỉ cương, tác hưng văn giáo, chuyên uỷ Khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm Tổng chính bính Thái uý Nghi quốc ...
公鄭根典司政本講求治理深知夫史乃正當時之名分示來世之勸懲	công Trịnh Căn điển tư chính bản, giảng cầu trị lí, thâm tri phù, sử nãi chính đương thời chi danh phận, thị lai thế chi khuyến trừng.
於是渙起宸斷紬繹書史特命臣與左侍郎臣楊㵆右侍郎臣胡士揚臣阮國櫆臣鄧公瓆寺卿臣阮公壁東各神裴廷貟侍書臣陶公正待制臣吳珪府尹臣阮廷正給事中臣阮公弼翰林臣阮曰庶臣武惟斷等訂改國史自洪庞氏至恭皇紀义命續編自荘宗裕帝至	Ư thị hoán khởi Thần đoạn trừu dịch thư sử, đặc mệnh thần dữ Tả thị lang thần Dương Hạo, Hữu thị lang thần Hồ Sĩ Dương, thần Nguyễn Quốc Khôi, thần Đặng Công Chất, Tự khanh thần Nguyễn Công Bích, Đông các thần Bùi Đình Viên, Thị thư thần Đào Công Chính, Đãi chế thần Ngô Khuê, Phủ doãn thần Nguyễn Đình Chính, Cấp sự trung thần Nguyễn Công Bật, Hàn lâm thần Nguyễn Viết Thứ, thần Vũ Duy Đoán đẳng, đính cải quốc sử tự Hồng Bàng thị chí Cung Hoàng kỉ, nghĩa mệnh tục biên tự Trang Tông Dụ Đế chí ...
神宗淵皇帝萬慶年間述為成書鋟梓頒行	Thần Tông Uyên Hoàng đế, Vạn Khánh niên gian, thuật vi thành thư, tẩm tử ban hành.
臣等自知󰔹線其才甕天其見目不業侯萬軸骨不世南秘書其才又出於黎鄧諸君子之下安敢馳鶩於數千載之上以僃補綴者㢤	Thần đẳng tự tri miệt tuyến kì tài, ủng thiên kì kiến, mục bất Nghiệp hầu vạn trục, cốt bất Thế Nam bí thư, kì tài hựu xuất ư Lê Đặng chư quân tử chi hạ, an cảm trì vụ ư sổ thiên tải chi thượng, dĩ bị bổ xuyết giả tai.
然既叨承成命不敢以淺拙辭	Nhiên kí thao thừa thành mệnh, bất cảm dĩ thiển chuyết từ.
因共加蒐獵間見抄録遺舛字義蹇澁乃推尋意義之中補輯一二使讀者易曉非敢妄為附會臆説	Nhân cộng gia sưu liệp, gian kiến sao lục di suyễn, tự nghĩa kiển sáp, nãi suy tầm ý nghĩa chi trung, bổ tập nhất nhị, sử độc giả dị hiểu, phi cảm vọng vi phụ hội ức thuyết.
又摭取自洪庞氏至吳使君題曰大越史記外紀全書自丁先皇至我	Hựu chích thủ tự Hồng Bàng thị chí Ngô sứ quân, đề viết Đại Việt sử kí ngoại kỉ toàn thư; tự Đinh Tiên Hoàng chí ngã ...
國朝太祖髙皇帝為本紀全書並依如前史臣吳士連武瓊等之所着述也	quốc triều Thái Tổ Cao Hoàng Đế vi Bản kỉ toàn thư, tịnh y như tiền sử thần Ngô Sĩ Liên, Vũ Quỳnh đẳng chi sở trước thuật dã.
其自國朝太宗至恭皇則因前書所載題曰本紀實録	Kì tự Quốc triều Thái Tông chí Cung Hoàng, tắc nhân tiền thư sở tải, đề viết Bản kỉ thực lục.
又參究登柄野史及畧取當時所献各遺編述自國朝庄宗裕皇帝至神宗淵皇帝增入國史命曰大𧻗史記本紀續編	Hựu tham cứu Đăng Bính dã sử, cập lược thủ đương thời sở hiến các di biên, thuật tự Quốc triều Trang Tông Dụ Hoàng Đế chí Thần Tông Uyên Hoàng Đế, tăng nhập quốc sử, mệnh viết Đại Việt sử kí bản kỉ tục biên.
總分爲二十三卷	Tổng phân vi nhị thập tam quyển.
凣所續編其繋年之下非正統者及北朝年號皆两行分註	Phàm sở tục biên, kì hệ niên chi hạ phi chính thống giả, cập Bắc triều niên hiệu, giai lưỡng hành phân chú.
與夫凣例所書	Dữ phu phàm lệ sở thư, ...
一遵前史書式	nhất tuân tiền sử thư thức.
皆所以尊正統而黜僭偽󰁮大綱而昭監戒耳	Giai sở dĩ tôn chính thống nhi truất tiếm nguỵ, cử đại cương nhi chiêu giám giới nhĩ.
間或字義之未精句法之未當幸賴博洽諸君子補正之使人知是史之作其言正治亦古史之尙書其寓褒貶亦魯史之春秋󰱃有補於治道有裨於風教是亦考正之一助云	Gian hoặc tự nghĩa chi vị tinh, câu pháp chi vị đáng, hạnh lại bác hiệp chư quân tử bổ chính chi, sử nhân tri thị sử chi tác, kì ngôn chính trị diệc cổ sử chi Thượng Thư, kì ngụ bao biếm diệc Lỗ sử chi Xuân Thu; thứ hữu bổ ư trị đạo, hữu bì ư phong giáo, thị diệc khảo chính chi nhất trợ vân.
旹	Thời, ...
景治三年歳在乙巳仲秋節榖日	Cảnh Trị tam niên, tuế tại Ất Tị, trọng thu tiết, cốc nhật.
賜戊辰科同進士出身參從吏部尙書兼東閣大𭓇士少保燕郡公臣范公著奉編	Tứ Mậu Thìn khoa đồng Tiến sĩ xuất thân, Tham tụng Lại bộ Thượng thư kiêm Đông các đại học sĩ, Thiếu bảo, Yên quận công, thần Phạm Công Trứ phụng biên.
大越史記外紀全書	Đại Việt sử kí ngoại kỉ toàn thư.
史以記事也而事之得失為将來之鑒戒	Sử dĩ kí sự dã, nhi sự chi đắc thất vi tương lai chi giám giới.
古者列國各有史如魯之春秋晉之擣杌楚之乘是已大越居五嶺之南乃天限南北也	Cổ giả, liệt quốc các hữu sử, như Lỗ chi Xuân Thu, Tấn chi Đào Ngột, Sở chi Thặng, thị dĩ, Đại Việt cư Ngũ Lĩnh chi Nam, nãi thiên hạn Nam - Bắc dã.
其始祖出於神農氏之後乃天啟真主也所以䏻與北朝各帝一方焉	Kì thuỷ tổ xuất ư Thần Nông thị chi hậu, nãi thiên khải chân chủ dã, sở dĩ năng dữ Bắc triều các đế nhất phương yên.
奈史籍闕於紀載而事實出於傳聞文涉恠誕事或遺忘以至謄寫之失真紀録之繁冗徒為嵬目将何鑒焉	Nại sử tịch khuyết ư kỉ tải, nhi sự thực xuất ư truyền văn, văn thiệp quái đản, sự hoặc di vong, dĩ chí đằng tả chi thất chân, kỉ lục chi phồn nhũng, đồ vi ngôi mục, tương hà giám yên.
至陳太宗始命學士黎文休重修自趙武帝以下至	Chí Trần Thái Tông thuỷ mệnh học sĩ Lê Văn Hưu trùng tu, tự Triệu Vũ Đế dĩ hạ chí ...
李招皇初年	Lý Chiêu Hoàng sơ niên.
本朝仁宗又命修史潘孚先續編自陳太宗以下至明人睘國皆以大越史記名	Bản triều Nhân Tông hựu mệnh tu sử Phan Phu Tiên, tục biên tự Trần Thái Tông dĩ hạ chí Minh nhân hoàn quốc, giai dĩ Đại Việt sử kí danh.
然後歷代事蹟彰可鑒	Nhiên hậu lịch đại sự tích chương chương khả giám.
文休陳時大手筆也孚先聖朝故老人也皆奉詔編其本國之史旁蒐遺史會輯成書史後之覽者無遺憾焉可也	Văn Hưu Trần thời đại thủ bút dã, Phu Tiên Thánh triều cố lão nhân dã, giai phụng chiếu biên kì bản quốc chi sử, bàng sưu di sử, hội tập thành thư, sử hậu chi lãm giả, vô di hám yên khả dã.
而記志猶有未僃義例猶有未當文字猶有未安讀者不能無憾焉	Nhi kí chí do hữu vị bị, nghĩa lệ do hữu vị thường, văn tự do hữu vị an, độc giả bất năng vô hám yên.
獨胡宗鷟越史綱目有作書事慎重而有法評事切當而不冗殆亦庶幾	Độc Hồ Tông Thốc Việt sử cương mục hữu tác, thư sự thận trọng nhi hữu pháp, phê sự thiết đáng nhi bất nhũng, đãi diệc thứ cơ.
然而兵	Nhiên nhi binh ...
火之後其書不傳	hoả chi hậu, kì thư bất truyền.
盖成之至難	Cái thành chi chí nan.
意若有待	Ý nhược hữu đãi.
皇上中興崇儒重道儒典考文廼於光順年間詔求也史及家人所藏古今傳記悉令奏進以僃參考	Hoàng thượng Trung hưng, sùng nho trọng đạo, thuần điển khảo văn, nãi ư Quang Thuận niên gian, chiếu cầu dã sử, cập gia nhân sở tàng cổ kim truyền kí, tất lệnh Tấu tiến, dĩ bị tham khảo.
又命儒臣討論編次臣前在史院嘗預焉及再入也而其書已上進藏之東閤莫得之見	Hựu mệnh nho thần thảo luận biên thứ, thần tiền tại Sử viện thường dự yên, cập tái nhập dã, nhi kì thư dĩ Thượng tiến tàng chi Đông các, mạc đắc chi kiến.
竊自惟念幸祭明時漸無補報輙不自揆取先正二書校正編摩增入外紀一卷凣若干卷名曰大越史記全書	Thiết tự duy niệm: hạnh tế minh thời, tiềm vô bổ báo, triếp bất tự quỹ, thủ tiên chính nhị thư, hiệu chính biên ma, tăng nhập Ngoại Kỉ nhất quyển, phàm nhược can quyển, danh viết Đại Việt Sử Kí Toàn Thư.
事有	Sự hữu ...
遺忘者補之例有未當者正之文有未安者改之間有𦎍惡可以勸懲者贅鄙見於其後	di vong giả bổ chi, lệ hữu vị đáng giả chính chi, văn hữu vị an giả cải chi, gian hữu thiện ác khả dĩ khuyên trừng giả, chuế bỉ kiến ư kì hậu.
極知僭妄罪無所逃然職在當為不敢以才識謭陋為辭	Cực tri tiếm vọng, tội vô sở đào, nhiên chức tại đương vi, bất cảm dĩ tài thức tiễn lậu vi từ.
謹編定成書留之史舘	Cẩn biên định thành thư, lưu chi Sử quán.
雖未能公是於萬年猶足資󰏲考之一助云	Tuy vị năng công thị ư vạn niên, do túc tư kê khảo chi nhất trợ vân.
洪德十年歳在己亥冬至節	Hồng Đức thập niên, tuế tại Kỉ Hợi, Đông chí tiết.
賜大寶壬戌科同進士禮部右侍郎朝列大夫兼兼史官修𢮪吳士連序	Tứ Đại Bảo Nhâm Tuất khoa, đồng Tiến sĩ, Lễ bộ Hữu thị lang, Triều liệt đại phu kiêm Quốc tử giám Tư nghiệp, kiêm Sử quan tu soạn, Ngô Sĩ Liên tự.
擬進大越史記全書	Nghĩ Tiến Đại Việt sử kí toàn thư.
禮部右侍郎朝列大夫兼國子監司業兼史官修撰臣吳士連兹者伏𫎇聖恩除臣舘職臣取前大越史記二書參以野史輯成大越史記全書謹謄為十五卷奏進	Lễ bộ Hữu thị lang, Triều liệt đại phu kiêm Quốc tử giám tư nghiệp, kiêm Sử quan tu soạn, thần Ngô Sĩ Liên, tư giả phục mông Thánh ân, trừ thần quán chức, thần thủ tiền Đại Việt Sử Kí nhị thư, tham dĩ dã sử, tập thành Đại Việt Sử Kí Toàn Thư, cẩn đằng vi thập ngũ quyển tấu tiến.
臣吳士連成惶誠恐󰏲首頓首上言伏以	Thần Ngô Sĩ Liên thành hoàng thành khủng khể thủ đồn thủ thượng ngôn: "Phục dĩ: ...
文風大振適當景運之興史筆重修載纂歷朝之紀	Văn phong đại chấn, thích đương cảnh vận chi hưng, sử bút trùng tu, tải toản lịch triều chi kỉ.
俯殫管見󰱆達隆知	Phủ đan quản kiến, cốt đạt Long tri.
臣竊惟古有信書國之大典所以紀國綂之離所以明治化之隆污	Thần thiết duy: Cổ hữu tín thư, quốc chi đại điển, sở dĩ kỉ quốc thống chi li hợp, sở dĩ minh trị hoá chi long ô.
盖欲垂監戒於将來𡸈特著幾徵於既徃	Cái dục thuỳ giám giới ư tương lai, khởi đặc trước kỉ trưng ư kí vãng.
必善惡具形褒貶始足示於勸懲	Tất thiện ác cụ hình bao biếm, thuỷ túc thị ư khuyến trừng.
必翰墨久役心神方可觀於著述非苟作者𡸈易言哉	Tất hàn mặc cửu dịch tâm thần, phương khả quan ư trước thuật, phi cẩu tác giả, khởi dị ngôn tai.
鷖大越史記之書載前代帝王之正	Y Đại Việt sử kí chi thư, tải tiền đại đế vương chi chính.
粤肇南󰘊之繼嗣實與北朝而抗衡	Việt triệu Nam bang chi kế tự, thực dữ Bắc triều nhi khanh hành.
綂緒之傳億萬年與	Thống tự chi truyền ức vạn niên, dữ ...
天罔極英明之君六七作于古有光	Thiên võng cực, anh minh chi quân lục thất tác, vu cổ hữu quang.
雖強弱時或不同而豪傑世未嘗乏	Tuy cường nhược thời hoặc bất đồng, nhi hào kiệt thế vị thường phạp.
觀之在昔厥有可󰏲	Quan chi tại tích, quyết hữu khả kê.
吳氏以前慨亂多而治少李氏而後漸世变以風移	Ngô thị dĩ tiền, khái loạn đa nhi trị thiểu; Lý thị nhi hậu, tiềm thế biến dĩ phong di.
夫極治者亂生而履霜者氷至	Phù cực trị giả loạn sinh, nhi lý sương giả băng chí.
賊臣因之盜㨿敵國以是來侵	Tặc thần nhân chi đạo cứ, địch quốc dĩ thị lai xâm.
满地干戈莫匪狂明之㓂一國圖籍翻為洁劫之灰	Mãn địa can qua, mạc phỉ cuồng Minh chi khấu; nhất quốc đồ tịch, phiên vi khiết kiếp chi hôi.
欲求事跡於煨烬之餘難免是非於亥豕之辨	Dục cầu sự tích ư ổi tẫn chi dư, nan miễn thị phi ư "hợi- thỉ" chi biện.
於皇昭代思釆陳編下明詔以購求蒐散書而萃集	Ư hoàng chiêu đại, tư thái trần biên, hạ Minh chiếu dĩ cấu cầu, sưu tán thư nhi tuỵ tập.
既命朝士檢閲討論又	Kí mệnh triều sĩ, kiểm duyệt thảo luận, hựu ...
勑儒臣縂裁潤色	sắc nho thần tổng tài nhuận sắc.
務兹簡實捐彼浮華	Vụ tư giản thực, quyên bỉ phù hoa.
臣當直舘之初得預濡毫之列	Thần đương trực quán chi sơ, đắc dự nhu hào chi liệt.
倐遭家禍莫覩成書	Thúc tao gia hoạ, mạc đổ thành thư.
念夙志之未酧釆羣言而增校	Niệm túc chí chi vị thù, thái quần ngôn nhi tăng hiệu.
僃歷代君臣之蹟明古今治亂之原	Bị lịch đại quân thần chi tích, minh cổ kim trị loạn chi nguyên.
歳周於上而天道明統正於下而人紀立	Tuế chu ư thượng nhi Thiên đạo minh, thống chính ư hạ nhi nhân kỉ lập.
以至禮樂征伐與夫制度紀綱莫不正其謬訛補其闕畧	Dĩ chí lễ nhạc chinh phạt, dữ phu chế độ kỉ cương, mạc bất chính kì mậu ngoa, bổ kì khuyết lược.
間有䦕於風化附臆説以𭛁明	Gian hữu quan ư phong hoá, phụ ức duyệt dĩ phát minh.
名曰大越史記全書增入鴻庞蜀王外紀總若干卷今已成編	Danh viết: Đại Việt Sử Kí Toàn Thư, tăng nhập Hồng Bàng Thục Vương Ngoại kỉ, tổng nhược can quyển, kim dĩ thành biên.
效馬史之編年第慚補綴法麟經之比	Hiệu Mã Sử chi biên niên, đệ tàm bổ xuyết; pháp Lân Kinh chi tỉ ...
事敢望謹嚴	sự, cảm vọng cẩn nghiêm.
