大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
人皆畏服無有犯者	Nhân giai uý phục, vô hữu phạm giả.
黎文休曰先皇以過人之才明盖世之勇畧當我越無主羣䧺割㨿之時一舉而十二使君盡服	Lê Văn Hưu viết: Tiên Hoàng dĩ quá nhân chi tài minh, cái thế chi dũng lược, đương ngã Việt vô chủ, quần hùng cát cứ chi thời, nhất cử nhi Thập nhị sứ quân tận phục.
其開國建都改稱皇帝置百官設六	Kì khai quốc kiến đô, cải xưng hoàng đế, trí bách quan, thiết lục..
軍制度畧備殆天意而我越復生聖哲以接趙王之綂也歟	quân, chế độ lược bị, đãi thiên ý nhi ngã Việt phục sinh thánh triết dĩ tiếp Triệu Vương chi thống dã dư?.
己巳二年宋開寳二年	Kỉ Tị, nhị niên [Tống Khai Bảo nhị niên].
閏五月封長子璉爲南越王	Nhuận ngũ nguyệt, phong trưởng tử Liễn vi Nam Việt Vương.
庚午太平元年宋開寳三年	Canh Ngọ, Thái Bình nguyên niên [Tống Khai Bảo tam niên].
春正月建元舊云我越年號始此	Xuân, chính nguyệt, kiến nguyên [Cựu vân ngã Việt niên hiệu thuỷ thử.
因李南帝建元天德	Nhân Lí Nam Đế kiến nguyên Thiên Đức].
遣使如宋結好	Khiển sứ như Tống kết hảo.
時宋命大將潘美平嶺南劉鋹也故有是命	Thời Tống mệnh Đại tướng Phan Mĩ Bình Lĩnh Nam [Lưu Xưởng dã], cố hữu thị mệnh.
立五皇后一曰舟嘉二曰貞明三曰矯國四曰瞿國五曰歌翁	Lập ngũ hoàng hậu, [Nhất viết Chu Gia, nhị viết Trinh Minh, tam viết Kiểu Quốc, tứ viết Cồ Quốc, ngũ viết Ca Ông].
黎文休曰天地並其覆載日月並其照臨故能生城萬物發育庶類亦猶皇后配儷宸極故能	Lê Văn Hưu viết: Thiên địa tịnh kì phú tải, nhật nguyệt tịnh kì chiếu lâm, cố năng sinh thành vạn vật, phát dục thứ loại, diệc do hoàng hậu phối lệ thần cực, cố năng..
表率宫中化成天下	biểu suất cung trung, hoá thành thiên hạ.
自古秪立一人以主内治而已未聞有五其名者	Tự cổ chỉ lập nhất nhân dĩ chủ nội trị nhi dĩ, vị văn hữu ngũ kì danh giả.
先皇無稽古學而當時帬臣又無匡正之者𦤶使溺私並立五后	Tiên Hoàng vô kê cổ học, nhi đương thời quần thần hựu vô khuông chính chi giả, trí sử nịch tư, tịnh lập ngũ hậu.
下至黎李二家亦多效而行之由先皇始唱其亂階也	Hạ chí Lê, Lí nhị gia, diệc đa hiệu nhi hành chi, do Tiên Hoàng thuỷ xướng kì loạn giai dã.
辛未二年宋開寳四年	Tân Mùi, nhị niên [Tống Khai Bảo tứ niên].
初定文武僧道	Sơ định văn vũ, tăng đạo.
以阮匐爲定國公劉基爲都護府士師黎桓爲十道將軍僧綂吳真流賜號匡越大師張麻尼爲僧錄道士鄧玄光授崇真威儀	Dĩ Nguyễn Bặc vi Định quốc công; Lưu Cơ vi Đô hộ phủ sĩ sư; Lê Hoàn vi Thập đạo tướng quân; Tăng Thống, Ngô Chân Lưu tứ hiệu Khuông Việt Đại Sư; Trương Ma Ni vi Tăng lục; Đạo sĩ Đặng Huyền Quang thụ Sùng chân uy nghi.
以明珠公主嫁陳升封升駙馬都尉	Dĩ Minh Châu công chúa giá Trần Thăng, phong Thăng Phò mã đô uý.
壬申三年宋開寳五年	Nhâm Thân, tam niên [Tống Khai Bảo ngũ niên].
遣南越王璉聘于宋	Khiển Nam Việt Vương Liễn sính vu Tống.
癸酉四年宋開寳六年	Quý Dậu, tứ niên [Tống Khai Bảo lục niên].
南越王璉使桓	Nam Việt Vương Liễn sứ hoàn.
宋遣使封帝爲交趾郡王璉檢校太師靜海軍節度使安南都護	Tống khiển sứ phong đế vi Giao Chỉ Quận Vương, Liễn Kiểm hiệu thái sư Tĩnh Hải quân tiết độ sứ An Nam đô hộ.
制詞畧曰世爲右族能保遐方志慕華風常思内附	[Chế từ lược viết: "Thế vi hữu tộc, năng bảo hà phương, chí mộ Hoa phong, thường tư nội phụ.
九州混一五嶺廓清遂達梯航乃輸聀貢	Cửu châu hỗn nhất, Ngũ lĩnh quách thanh, toại đạt thê hàng, nãi thâu chức cống.
嘉令子稱藩之意賜乃父裂土之封秩以維師疇之井賦	Gia lệnh tử xưng phiên chi ý, tứ nãi phụ liệt thổ chi phong, trật dĩ duy sư, trù chi "tỉnh phú".
用褒耆德𡸈限彛章	Dụng bao kì đức, khởi hạn di chương].
甲戌五年宋開寳七年	Giáp Tuất, ngũ niên [Tống Khai Bảo thất niên].
春二月定十道軍一道十軍一軍十旅一旅十卒一卒十伍一伍十人各戴四方平頂帽	Xuân, nhị nguyệt, định thập đạo quân, nhất đạo thập quân, nhất quân thập lữ, nhất lữ thập tốt, nhất tốt thập ngũ, nhất ngũ thập nhân, các đái tứ phương bình đính mạo.
其帽以皮爲之平頂四邊夾縫上狹下寬其制至今朝𡸈義猶存後代因之	[Kì mạo dĩ bì vi chi, bình đính, tứ biên giáp phùng, thượng hiệp hạ khoan, kì chế chí kim triều khởi nghĩa do tồn, hậu đại nhân chi].
皇次子璿生	Hoàng thứ tử Toàn sinh.
乙亥六年宋開寳八年	Ất Hợi, lục niên [Tống Khai Bảo bát niên].
春定文武冠服	Xuân, định văn vũ quan phục.
遣鄭琇遺金帛犀象于宋	Khiển Trịnh Tú di kim bạch, tê tượng vu Tống.
秋宋遣鴻臚卿高保緒率王彦符齎󰀋加授南越王璉開府儀同三司檢校太師交趾郡王	Thu, Tống khiển Hồng lô khanh Cao Bảo Tự suất Vương Ngạn Phù tê sách gia thụ Nam Việt Vương Liễn Khai phủ nghi đồng tam ti, Kiểm hiệu thái sư, Giao Chỉ Quận Vương.
是後遣使如宋以璉爲主	Thị hậu, khiển sứ như Tống dĩ Liễn vi chủ.
丙子七年宋開寳九年	Bính Tí, thất niên [Tống Khai Bảo cửu niên.
十月以後宋太宗匡義太平興國元年	Thập nguyệt dĩ hậu, Tống Thái Tông Khuông Nghĩa, Thái Bình Hưng Quốc nguyên niên].
春海外諸國商舶來献方物	Xuân, hải ngoại chư quốc thương bạc lai hiến phương vật.
遣陳元泰如宋報聘	Khiển Trần Nguyên Thái như Tống báo sính.
冬十月宋太組崩	Đông, thập nguyệt, Tống Thái Tổ băng.
丁丑八年宋太平興國二年	Đinh Sửu, bát niên [Tống Thái Bình Hưng Quốc nhị niên].
遣使如宋賀太宗即位	Khiển sứ như Tống hạ Thái Tông tức vị.
戊寅九年宋太平興國三年	Mậu Dần, cửu niên [Tống Thái Bình Hưng Quốc tam niên].
春正月地震	Xuân, chính nguyệt, địa chấn.
立少子項郎	Lập thiếu tử Hạng Lang..
爲皇太子封次子璿爲衛王	vi Hoàng Thái tử, phong thứ tử Toàn vi Vệ Vương.
二月雨雹	Nhị nguyệt, vũ bạo.
夏六月旱	Hạ, lục nguyệt, hạn.
己卯十年宋太平興國四年	Kỉ Mão, thập niên [Tống Thái Bình Hưng Quốc tứ niên].
春南越王璉殺皇太子項郎	Xuân, Nam Việt Vương Liễn sát Hoàng Thái tử Hạng Lang.
璉帝長子微時常預難苦及定天下帝意欲傳位即封爲南越王又賞請命受封于宋	Liễn đế trưởng tử, vi thời thường dự nạn khổ, cập định thiên hạ, đế ý dục truyền vị, tức phong vi Nam Việt Vương, hựu thưởng thỉnh mệnh thụ phong vu Tống.
後帝生少子項郎尤鍾愛之立爲太子	Hậu đế sinh thiếu tử Hạng Lang, vưu chung ái chi, lập vi thái tử.
璉以是不平使人陰殺之	Liễn dĩ thị bất bình, sử nhân âm sát chi.
史臣吳士連曰繼世以嫡萬世常經拂是經者未有不𦤶亂也	Sử thần Ngô Sĩ Liên viết: Kế thế dĩ đích, vạn thế thường kinh, phất thị kinh giả, vị hữu bất trí loạn dã.
間因世亂立太子則先有功其	Gian nhân thế loạn lập thái tử, tắc tiên hữu công, kì..
或嫡長過惡廢之然後立次	hoặc đích trưởng quá ác phế chi, nhiên hậu lập thứ.
此處變而得其宜也古人皆已行之矣	Thử xử biến nhi đắc kì nghi dã, cổ nhân giai dĩ hành chi hĩ.
南越王璉長且有功未聞過矣	Nam Việt Vương Liễn, trưởng thả hữu công, vị văn quá hĩ.
先皇乃愛少子而忘其嫡謂足以伸鍾愛之情不知適以害之也	Tiên hoàng nãi ái thiếu tử nhi vong kì đích, vị túc dĩ thân chung ái chi tình, bất tri thích dĩ hại chi dã.
而璉之忍心至殺其弟天倫滅矣其禍至於殞身以及其父𡸈不烈矣哉不然杜釋大恶何由而萌以符讖語也	Nhi Liễn chi nhẫn tâm, chí sát kì đệ, thiên luân diệt hĩ, kì hoạ chí ư vẫn thân, dĩ cập kì phụ, khởi bất liệt hĩ tai! Bất nhiên Đỗ Thích đại ác, hà do nhi manh dĩ phù sấm ngữ dã?.
冬十月秪候内人杜釋弑帝于宫庭	Đông, thập nguyệt, Chi hầu nội nhân Đỗ Thích thí đế vu cung đình.
定國公阮匐等誅之	Định quốc công Nguyễn Bặc đẳng tru chi.
先是釋爲桐䦕吏夜卧橋上忽流星入口釋以爲休徵遂萌弑心	Tiên thị Thích vi Đồng Quan lại, dạ ngoạ kiều thượng, hốt lưu tinh nhập khẩu, Thích dĩ vi hưu trưng, toại manh thí tâm.
至是乘帝夜宴醉卧庭	Chí thị, thừa đế dạ yến, tuý ngoạ đình..
中遂殺之害及南越王璉	trung, toại sát chi, hại cập Nam Việt Vương Liễn.
時捕賊甚急釋潜伏于宮霤踰三日渴甚遇雨以手盛水而飲宫女見之以吿	Thời bổ tặc thậm cấp, Thích tiềm phục vu cung lựu, du tam nhật khát thậm, ngộ vũ dĩ thủ thịnh thuỷ nhi ẩm, cung nữ kiến chi dĩ cáo.
定國公阮匐使人收斬之碎其骨臠其肉分與國人食之不争啖焉	Định quốc công Nguyễn Bặc sử nhân thu trảm chi, toái kì cốt, loan kì nhục, phân dữ quốc nhân thực chi, bất tranh đạm yên.
初帝微時嘗漁于膠水江綱得大圭觸頭闕其角	Sơ đế vi thời, thường ngư vu Giao Thuỷ giang, cương đắc đại khuê, xúc đầu khuyết kì giác.
是夜投膠水寺宿藏圭于魚筥底待明是賣魚	Thị dạ đầu Giao Thuỷ tự túc, tàng khuê vu ngư cử để, đãi minh thị mại ngư.
時帝方熟睡其筥有異光寺僧起問故帝言乃以圭示之	Thời đế phương thục thuỵ, kì cử hữu dị quang, tự tăng khởi vấn cố, đế ngôn nãi dĩ khuê thị chi.
僧嘆曰吾子他日富貴不可言但長耳	Tăng thán viết: "Ngô tử tha nhật phú quý bất khả ngôn, đãn trường nhĩ".
又於太平五年得讖文曰杜弑弑丁丁黎家出聖明兢頭多宏兒道路絶人行	Hựu ư Thái Bình ngũ niên, đắc sấm văn viết: "Đỗ Thích thí Đinh Đinh, Lê gia xuất thánh minh, cạnh đầu đa hoằng nhi, đạo lộ tuyệt nhân hành.
十二稱大王十恶無一善	Thập nhị xưng đại vương, thập ác vô nhất thiện,..
十八子登僊計都二十天	thập bát tử đăng tiên, kế đô nhị thập thiên".
人以爲天數自定云	Nhân dĩ vi thiên số tự định vân.
時定國公阮匐外甲丁佃與十道將軍黎桓奉衛王璿即皇帝位尊帝曰先皇帝尊親生母楊氏爲皇太后	Thời Định quốc công Nguyễn Bặc, Ngoại Giáp Đinh Điền, dữ Thập đạo tướng quân Lê Hoàn phụng vệ Vương Toàn tức Hoàng Đế vị, tôn đế viết Tiên Hoàng Đế, tôn thân sinh mẫu Dương thị vi Hoàng thái hậu.
奉先皇帝柩塟長焉山陵	Phụng Tiên Hoàng đế cữu táng Trường Yên sơn lăng.
史臣吳士連曰帝王之興未有不本於天者也	Sử thần Ngô Sĩ Liên viết: Đế vương chi hưng, vị hữu bất bản ư thiên giả dã.
然聖人不恃其命之在天而尤盡其事之在我	Nhiên thánh nhân bất thị kì mệnh chi tại thiên, nhi vưu tận kì sự chi tại ngã.
事既濟矣尤思患而豫防之	Sự ký tế hĩ, vưu tư hoạn nhi dự phòng chi.
禮樂刑政之脩所以防人心也	Lễ nhạc hình chính chi tu, sở dĩ phòng nhân tâm dã.
重門擊析之設所以待暴客也	Trùng môn kích tích chi thiết, sở dĩ đãi bạo khách dã.
盖	Cáị.
以人欲無盡世故無涯不待不豫爲之防	dĩ nhân dục vô tận, thế cố vô nhai, bất đãi bất dự vi chi phòng.
其爲後慮遠矣貽厥孫謀亦於是乎在	Kì vi hậu lự viễn hĩ, di quyết tôn mưu diệc ư thị hồ tại.
故先皇之不善終由人事之未盡非天命之不祐也	Cố Tiên Hoàng chi bất thiện chung, do nhân sự chi vị tận, phi thiên mệnh chi bất hựu dã.
惟其不善終使圖讖之説勝後世不能無惑焉	Duy kì bất thiện chung, sử đồ sấm chi thuyết thắng, hậu thế bất năng vô hoặc yên.
廢帝	Phế Đế.
諱璿先皇次子也在降封衛王壽十八歲位八月黎氏篡位帝以幼冲之年嗣艱大之業強臣攝政國内離心丁氏遂亡	Huý Toàn, [Tiên Hoàng thứ tử dã, tại giáng phong Vệ Vương, thọ thập bát tuế. vị bát nguyệt. Lê thị soán vị Đế dĩ ấu trùng chi niên, tự gian đại chi nghiệp, cường thần nhiếp chính, quốc nội li tâm, Đinh thị toại vong].
帝自位年方六歲	Đế tự vị niên phương lục tuế.
黎桓攝政行周公居攝之事自稱副王	Lê Hoàn nhiếp chính, hành Chu Công cư nhiếp chi sự, tự xưng Phó vương.
定國公阮匐外甲丁佃范盍等疑桓將不利於孺子乃相率起兵分水陸二道欲向京師誅	Định quốc công Nguyễn Bặc, Ngoại giáp Đinh Điền, Phạm Hạp đẳng nghi Hoàn tương bất lợi ư nhụ tử, nãi tương suất khởi binh, phân thuỷ lục nhị đạo, dục hướng kinh sư tru..
桓不克死之	Hoàn, bất khắc, tử chi.
先是佃匐起兵太后聞之惧謂桓曰匐等稱兵唱亂驚我國家	Tiên thị, Điền Bặc khởi binh, Thái hậu văn chi, cụ vị Hoàn viết: "Bặc đẳng xưng binh xướng loạn, kinh ngã quốc gia.
帝幼弱未堪多難公等圖之毋貽後患	Đế ấu nhược vị kham đa nạn, công đẳng đồ chi, vô di hậu hoạn".
桓曰臣居攝副死生禍變當任其責	Hoàn viết: "Thần cư nhiếp Phó, tử sinh hoạ biến, đương nhiệm kì trách".
於是整旅與佃匐戰于西都桓愛州人都華閭故史號愛州爲西	Ư thị chỉnh lữ, dữ Điền Bặc chiến vu Tây Đô [Hoàn Ái Châu nhân, đô Hoa Lư, cố sử hiệu Ái Châu vi Tây Đô].
佃匐敗比復以舟師出戰	Điền, Bặc bại bí, phục dĩ chu sư xuất chiến.
桓因風縱火焚其戰艦斬佃于陣執匐檻送京師讓之曰先帝懼難神人尙爲憤羞	Hoàn nhân phong túng hoả phần kì chiến hạm, trảm Điền vu trận, chấp Bặc giám tống Kinh sư, nhượng chi viết: "Tiên Đế cụ nạn, thần nhân thượng vi phẫn tu.
汝爲臣子乃乘其喪亂背義興兵	Nhữ vi thần tử nãi thừa kì tang loạn, bội nghĩa hưng binh.
臣子之職固如是乎遂斬以徇	Thần tử chi chức cố như thị hồ?" Toại trảm dĩ tuẫn.
佃匐既子笵盍軍氣沮奔潰于北江吉利鄕	Điền, Bặc ký tử, Phạm Hạp quân khí tự, bôn hội vu Bắc Giang, Cát Lợi Hương.
桓率師追之生擒范盍󰆕	Hoàn suất sư truy chi, sinh cầm Phạm Hạp quy..
京師	Kinh Sư.
史臣吳士連曰周公以王室懿親輔幼君不免有留言之譖	Sử thần Ngô Sĩ Liên viết: Chu Công dĩ vương thất ý thân, phụ ấu quân bất miễn hữu lưu ngôn chi tiếm.
黎桓異姓之卿手握兵權行周公之事常情猶疑况阮匐位居首相丁佃同姓之卿乎其起兵非稱亂也一心左桓爲丁氏也誅桓不克而子死得其所矣	Lê Hoàn dị tính chi khanh, thủ ốc binh quyền, hành Chu Công chi sự, thường tình do nghi, huống Nguyễn Bặc vị cư thủ tướng, Đinh Điền đồng tính chi khanh hồ? Kì khởi binh phi xưng loạn dã, nhất tâm tá Hoàn vị Đinh thị dã, tru Hoàn bất khắc nhi tử, tử đắc kì sở hĩ.
今觀大行數匐之辭有若自状	Kim quan Đại Hành sổ Bặc chi từ, hữu nhược tự trạng.
匐子之時必有一言以伸其義史不見書失之也	Bặc tử chi thời, tất hữu nhất ngôn dĩ thân kì nghĩa, sử bất kiến thư, thất chi dã.
駙馬吳日慶引占城舟師千餘船入寇欲攻華	Phò mã Ngô Nhật Khánh dẫn Chiêm Thành chu sư thiên dư thuyền nhập khấu, dục công Hoa..
閭城經大𪅴小康二海口踰一宿會暴風起舟皆覆没日慶及占人溺死惟其王舟僅得還國	Lư thành, kinh Đại Ác, Tiểu Khang nhị hải khẩu, du nhất túc, hội bạo phong khởi, chu giai phúc một, Nhật Khánh cập Chiêm nhân nịch tử, duy kì vương chu cẩn đắc hoàn quốc.
日慶吳先主權之後初稱安王與十二使君各㨿其地	Nhật Khánh, Ngô Tiên chúa Quyền chi hậu, sơ xưng An Vương, dữ Thập nhị sứ quân các cứ kì địa.
先皇平之以其母爲後妹爲南越王璉夫人猶恐生變又以公主妻之欲室其怨望之心	Tiên Hoàng bình chi, dĩ kì mẫu vi hậu, muội vi Nam Việt Vương Liễn phu nhân, do khủng sinh biến, hựu dĩ công chúa thê chi, dục thất kì oán vọng chi tâm.
而日慶外則言笑自若内懷不平遂挈其妻奔占城扺南界海口引佩刀斫妻臉數之曰汝父欺脅我母子我𡸈以汝而忘汝父之惡哉汝還歸我他適以求能救我者	Nhi Nhật Khánh ngoại tắc ngôn tiếu, tự nhược nội hoài bất bình, toại khiết kì thê bôn Chiêm Thành, chỉ Nam giới hải khẩu, dẫn bội đao chước thê kiểm sổ chi viết: "Nhữ phụ khi hiếp ngã mẫu tử, ngã khởi dĩ nhữ nhi vong nhữ phụ chi ác tai? Nhữ hoàn quy, ngã tha thích dĩ cầu năng cứu ngã giả".
言訖遂往	Ngôn hất toại vãng.
至是聞先皇崩引占人入寇	Chí thị văn Tiên Hoàng băng, dẫn Chiêm nhân nhập khấu.
庚辰十一年廢帝仍太平行天福元年年號七月以後黎大宋太平興國五年	Canh Thi`n, tha^.p nha^'t nie^n [Phe^' DDe^' nhu+ng Tha'i Bi`nh Ha`nh Thie^n Phu'c nguye^n nie^n. nie^n hie^.u, tha^'t nguye^.t di~ ha^.u Le^ DDa.i To^'ng Tha'i Bi`nh Hu+ng Quo^'c ngu~ nie^n].
夏六月宋知邕州太常博士侯仁寳上言於宋帝曰安南郡王及其子璉皆被弑其國垂亡可因此時以偏師取之	Ha., lu.c nguye^.t, To^'ng Tri Ung Cha^u Tha'i thu+o+`ng ba'c si~ Ha^`u Nha^n Ba?o thu+o+.ng ngo^n u+ To^'ng DDe^' vie^'t: "An Nam qua^.n vu+o+ng ca^.p ki` tu+? Lie^~n giai bi. thi', ki` quo^'c thuy` vong, kha? nha^n thu+? tho+`i di~ thie^n su+ thu? chi\.
舍今不圖恐失機會	Xa? kim ba^'t ddo^`, khu?ng tha^'t co+ ho^.i\.
請詣闕面陳可取之状	Thi?nh nghe^. khuye^'t die^.n tra^`n kha? thu? chi tra.ng".
令馳驛召之	Le^.nh tri` di.ch trie^.u chi\.
盧多遜曰安南内擾此天亡之秋朝廷出其不意用兵襲擊所謂疾雷不及掩耳	Lu+ DDa To^'n vie^'t: "An Nam no^.i nhie^~u, thu+? thie^n vong chi thu, trie^`u ddi`nh xua^'t ki` ba^'t y' du.ng binh ta^.p ki'ch, so+? vi. "ta^.t lo^i ba^'t ca^.p ye^?m nhi~'.
若先召仁寳其謀必泄彼因知之負山阻海爲備勝負之勢未可知也	Nhu+o+.c tie^n trie^.u Nha^n Ba?o, ki` mu+u ta^'t tie^'t, bi? nha^n tri chi, phu. so+n tro+? ha?i vi bi., tha('ng phu. chi the^', vi. kha? tri da~.
不如授仁寳以?輓之任因令經度其事選將發荆湖士卒三萬人長驅而	Ba^'t nhu+ thu. Nha^n Ba?o di~ [UNK] va~n chi nhie^.m, nha^n le^.nh kinh ddo^. ki` su+., tuye^?n tu+o+'ng pha't Kinh Ho^` si~ to^'t tam va.n nha^n tru+o+`ng khu nhi\..
往勢出萬全摧枯拉朽必無亡矢遺鏃之患	vãng thế, xuất vạn toàn thôi khô lạp hủ, tất vô vong thỉ di thốc chi hoạn".
宋帝以爲然	Tống đế dĩ vi nhiên.
秋七月丁未宋以侯仁寳爲交州陸路水路轉運使蘭陵團練使孫全興漆作使郝守俊鞍轡庫使陳欽祚左監門將軍崔亮爲邕州路兵馬都部署寕州刺史劉澄軍噐庫副使賈湜供奉官閤門祇候王僎爲廣州路兵馬都部署會兵四起約日來侵	Thu, thất nguyệt, Đinh Mùi, Tống dĩ Hầu Nhân Bảo vi Giao Châu lục lộ thuỷ lộ chuyển vận sứ, Lan Lăng Đoàn Luyện sứ Tôn Toàn Hưng, Tất tác sứ Hác Thủ Tuấn, Yên Bí khố sứ Trần Khâm Tộ, Tả Giám môn tướng quân Thôi Lượng vi Ung Châu Lộ binh mã đô bộ thự, Ninh châu Thứ sử Lưu Trừng, Quân khí khố phó sứ Giả Thực, Cung phụng quan cáp môn chi hậu Vương Soạn vi Quảng Châu Lộ binh mã đô bộ thự, hội binh tứ khởi, ước nhật lai xâm.
時諒州聞宋兵將至具以状聞	Thời, Lạng Châu văn Tống binh tương chí, cụ dĩ trạng văn.
太后遣黎桓選勇士拒之以南󰀋江人范巨俩爲大將軍	Thái hậu khiển Lê Hoàn tuyển dũng sĩ cự chi, dĩ Nam Sách Giang nhân Phạm Cự Lạng vi Đại tướng quân.
方畫策出師巨俩與諸將軍各被戎服直入府	Phương hoạch sách xuất sư, Cự Lạng dữ chư tướng quân các bị nhung phục trực nhập phủ,..
中謂眾曰夫賞有功而誅不用命行師之明法	trung vị chúng viết: "Phu thưởng hữu công nhi tru bất dụng, mệnh hành sư chi minh pháp.
今主上幼弱我眾雖竭死力禦外侮脱有尺寸之功其誰知之不如先󰀋十道爲天子然後出師可也	Kim chúa thượng ấu nhược, ngã chúng tuy kiệt tử lực ngự ngoại vũ, thoát hữu xích thốn chi công, kì thuỳ tri chi? Bất như tiên sách Thập đạo vi thiên tử, nhiên hậu xuất sư khả dã".
軍士聞之󰦭呼萬歲	Quân sĩ văn chi, hàm hô "vạn tuế".
太后見眾心悅服命以龍衮加桓身請即帝位	Thái hậu kiến chúng tâm duyệt phục, mệnh dĩ long cổn gia Hoàn thân, thỉnh tức đế vị.
